state,township,category,name,contact,street
Yangon Region,South Okkalapa (South Okkalapa ),Flowers & Florists,Attar,,"1053, Innwa St.,"
Yangon Region,Dagon Seikkan(Dagon Seikkan),Bedroom Accessories,"Polymer Co.,Ltd.","tel: 01-293445,tel: 01-298641,tel: 01-592052,tel: 01-592375","25, Kanaung Min Thar Gyi Rd., Industrial Zone,"
Yangon Region,Pazundaung(Pazundaung),Fishing & Angling Equipment,Annawah Hein,"tel: 01-202241,tel: 09-5124157,tel: 09-73138341","Bldg 8, Rm 002, Annawah St., Nyaung Tan Housing,"
Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar),Fish/Crab & Prawn Farming Camps,"Shwe Tagu Co.,Ltd. [Fish Firming Services]","tel: 01-684903,tel: 01-684923","Rm G/3, G Flr, Ta Pin Shwe Htee St., Corner of Yangon-Pathein Rd.,Tabin Shwe Htee Tower, Ward (5),"
Yangon Region,Pabedan(Pabedan),Sugar & Sugar Cane Products,333 [Triple Three],"tel: 09-73204465,tel: 09-5031750,tel: 01-370622 Ext.543,tel: 01-371822 Ext.543","A Shed, Rm 591, Thein Gyi Market,"
Yangon Region,North Dagon(North Dagon),Fitness Centres & Gyms,46 Gym,tel: 09-43039371,"1218, Bo Cho St., Ward (46),"
Yangon Region,Mingalardon(Mingalardon),Fitness Centres & Gyms,24 Gym,"tel: 09-972272992~93,tel: 09-254058458,tel: 09-448051823","17, Tha Pyay St., (2/Ka) Ward,"
Hlaing Thar Yar,အမွတ္ ၃၈၅/Kha၊ ဗိုလ္ေအာင္ေက်ာ္လမ္း၊ မီးခြက္ေဈး၊ (၇)ရပ္ကြက္၊,,Ko Moe Hnin + Ma Khin Mar Win,"tel: 09-5113412,tel: 09-5170805,tel: 01-645116","385/Kha, Bo Aung Kyaw St., Mee Khwet Market, Ward (7),"
Kyeemyin Daing,,,Emerald Fabric,"tel: 09-787517875,tel: 09-787417874","546/B, Lower Kyee Myin Daing Rd., Corner of Pan Hlaing St., Kayin Ah Myoe Thar Ward,"
Yangon Region,South Dagon(South Dagon),Gynaecologists,Zun,tel: 09-781018230,"40, Hlaw Gar Rd., Ward (105),"
