state,township,category,name,contact,street
Yangon Region,South Okkalapa ,Flowers & Florists,Attar,,"1053, Innwa St.,"
Yangon Region,Dagon Seikkan,Bedroom Accessories,"Polymer Co.,Ltd."," 01293445, 01298641, 01592052, 01592375","25, Kanaung Min Thar Gyi Rd., Industrial Zone,"
Yangon Region,Pazundaung,Fishing & Angling Equipment,Annawah Hein," 01202241, 095124157, 0973138341","Bldg 8, Rm 002, Annawah St., Nyaung Tan Housing,"
Yangon Region,Hlaing Thar Yar,Fish/Crab & Prawn Farming Camps,"Shwe Tagu Co.,Ltd. [Fish Firming Services]"," 01684903, 01684923","Rm G/3, G Flr, Ta Pin Shwe Htee St., Corner of Yangon-Pathein Rd.,Tabin Shwe Htee Tower, Ward (5),"
Yangon Region,Pabedan,Sugar & Sugar Cane Products,333 [Triple Three]," 0973204465, 095031750, 01370622 Ext.543, 01371822 Ext.543","A Shed, Rm 591, Thein Gyi Market,"
Yangon Region,North Dagon,Fitness Centres & Gyms,46 Gym, 0943039371,"1218, Bo Cho St., Ward (46),"
Yangon Region,Mingalardon,Fitness Centres & Gyms,24 Gym," 09972272992~93, 09254058458, 09448051823","17, Tha Pyay St., (2/Ka) Ward,"
Yangon Region,Hlaing Thar Yar,,Ko Moe Hnin + Ma Khin Mar Win," 095113412, 095170805, 01645116","385/Kha, Bo Aung Kyaw St., Mee Khwet Market, Ward (7),"
Yangon Region,Kyeemyin Daing,,Emerald Fabric," 09787517875, 09787417874","546/B, Lower Kyee Myin Daing Rd., Corner of Pan Hlaing St., Kayin Ah Myoe Thar Ward,"
Yangon Region,South Dagon,Gynaecologists,Zun, 09781018230,"40, Hlaw Gar Rd., Ward (105),"
Yangon Region,Pazundaung,Beans & Pulses,Asia Winner Industrial Ltd. [Agri Trade Int'l Ltd.],,"106,52nd St.,Upper Middle Block"
Yangon Region,Lanmadaw,Export & Import Companies,"Thidar Fisheries Co.,Ltd.", 01228122,"350/354, Rm 1/B, Anawrahta Rd., Phwint Phyo Aung Compound,"
Yangon Region,South Okkalapa ,Fitness & Gym Equipment,D Spa, 09259256686,"682, 3rd Flr, Thitsar Rd., Ward (6),"
Yangon Region,Insein,Fish & Seafood Wholesalers,Yone Khan [U]," 095153232, 0943180888","1, Padauk St., Myo Thit (Ga-Nge) Ward,"
Yangon Region,Ahlone,Fitness & Gym Equipment,Creator," 09250638066, 098700178","Bldg 4, Rm 205, 2nd Flr, Strand Rd., Mingalar Sin Min Housing,"
Yangon Region,Pabedan,Flowers & Shrubs [Artificial],Daung Phan Wah," 095153452, 01249074, 01290600 [Res]","B Shed, Rm 373/374, Thein Gyi Market,"
Yangon Region,Lanmadaw,Journals,90 Minutes, 0973029972,"96, 3rd Flr, 11th St.,"
Yangon Region,Mingalar Taung Nyunt,Flowers & Shrubs [Artificial],Cho [Ma]," 0973240266, 09253999982","Rm 145, 4th Flr, Shwe Mingalar Market, Car Parking (2),"
Yangon Region,Hlaing,Fish Markets,Shwe Padauk Fish Markets, 09770659385,Shwe Padauk Fish Market
Yangon Region,Pabedan,Fishing & Angling Equipment,Annawah," 01250051, 0973036217","48, 26th St., Lower Middle Block,"
Yangon Region,Kyauktada,Flowers & Shrubs [Artificial],Eden," 01385227, 0973050545, 09421018972, 0931227749","327/329, Rm A/6, 34th St., Upper Block,"
Yangon Region,Pazundaung,Export & Import Companies,"Asia Wave Trading Co.,Ltd."," 01202576, 018610063, 095166813, 01203759, 095045278","186, Rm 303, 2nd Flr, Maha Bandoola Rd., Nawarat Centre,"
Yangon Region,Hlaing,Fitness & Gym Equipment,"Link 64 Trading Co.,Ltd. [Balance Fitness]"," 01507305, 01654853","Bldg 51,Rm 404,4th Flr,Pyay Rd.,Shwe Hin Thar Tower"
Yangon Region,Tarmwe,Fitness & Gym Equipment,Green World," 09420092151, 09254923976","56, Kyar Kwet Thit St., Pathein Nyunt Ward,"
Yangon Region,Mayangone,Flowers & Shrubs [Artificial],Cedar," 09420024704, 09420131397","23/B, Bawga St., 9 Mile, Ward (5),"
Yangon Region,Ahlone,Fitness & Gym Equipment,Gym City," 012300168, 0943389996, 0973045239","64, 1st Flr, Hnin Si St., Corner of Ngu War St., Saw Yan Paing (South) Ward,"
Yangon Region,Mingalar Taung Nyunt,Fitness & Gym Equipment,Esperado Fitness Center," 018619486, 018619487, 018619488, 018619489, 018619302~3","23, U Aung Myat St., Tha Pyay Gone Ward,"
Yangon Region,Hlaing,Fitness & Gym Equipment,Fitness Xpress, 09975322639,"53, Mya Nandar St., Mya Kan Thar Housing,"
Yangon Region,Yankin,Flowers & Shrubs [Artificial],Aurora, 09259291855,"5/A, Tapin Shwe Htee St., Ward (1),"
Yangon Region,Bahan,Fitness & Gym Equipment,E Home Technology," 09253235409, 09253570346","Rm 204, 2nd Flr, Myanmar Plaza,"
Yangon Region,Pabedan,Flowers & Shrubs [Artificial],333," 0943027022, 0972425556","4 Shed, Rm 333, New Bogyoke Aung San Market,"
Yangon Region,Pabedan,Fitness & Gym Equipment,Empire," 01388535, 01254729, 095046534, 095506364, 095194894, 01371729, 011221613","128,25th St.,Upper Middle Block"
Yangon Region,Kamayut,Fitness & Gym Equipment,Champion," 0973119973, 0973991173","Rm F/137/C/105, 1st Flr, Junction Square,"
Yangon Region,Pabedan,,Daung Phan Wah," 095153452, 01290600","374, B Shed, 26th St.,"
Yangon Region,Tarmwe,Fitness & Gym Equipment,Beauty, 095410015,"53/54, 3rd Flr, Layar Shwe Myay St., Myittar Nyunt Ward,"
Yangon Region,Sanchaung,Fitness & Gym Equipment,Body Mind Strength," 0949239191, 0973072995, 09799656798","131, Bldg C, Rm 001, Shwe Pyi Aye St., Shwe Pyi Aye Yeik Mon,"
Yangon Region,Ahlone,Fitness & Gym Equipment,Ginger," 095126835, 09798233824, 01216622","87, Ayeyar Waddy St., Corner of Sin Min St.,Sin Min Market Bus Stop, Htar Nar Ward,"
Yangon Region,Bahan,,Maung Bamar Sein Mg and Grand Daughters," 09795001840, 09965001840, 09785001840","Rm 102, Bldg 5, 1st Flr, Aung Chan Thar Housing,"
Yangon Region,Thaketa,Fitness & Gym Equipment,Pan Taing Thit, 0973020267,"Rm 7, Bldg 1/C, Zingama Rd.,  Sit Hmu Htan Haung Building,  Ward (5),"
Yangon Region,Pabedan,Flowers & Shrubs [Artificial],Bawa Thit, 01370622 Ext.462,"B Shed, Rm 377, Thein Gyi Market,"
Yangon Region,Mayangone,,"NatRay Co., Ltd."," 095156645, 01656511, 01656522","Rm 002, Bldg A-4, Min Dhama Rd.,  Shwe Kabar Housing,"
Yangon Region,Mayangone,Fitness & Gym Equipment,Balance Fitness," 01656916, 095009301","64/G, 2nd Flr, Kyaik Waing Pagoda Rd., Avenue 64 Hotel, Ward (6),"
Yangon Region,Hlaing Thar Yar,Fisheries,Arr Wu [Ko] + Nan Kham Haw [Ma]," 095003500, 0973024599","382, Ta Pin Shwe Htee St., Ward (1),"
