name,street,category,township,contact,state
262,"B Shed, Rm 262, Thein Gyi Market,",Longyis,Pabedan(Pabedan),tel: 01-370622 Ext.631,Yangon Region
Aung Lan Htoo,"Rm 1, Thamain Bayan St., Near Pathein Nyunt CNG Gas Shop Room, Pathein Nyunt Ward,",Brick/Lime/Sand/Gravel & Other Aggregates,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 01-544881,tel: 09-420100115,tel: 09-8526504,tel: 09-425033246",Yangon Region
Thapyay,"567/B, Sagaing St., Ward (5),",Labelling & Identification Machines,South Okkalapa (South Okkalapa ),"tel: 09-73023305,tel: 09-421124817",Yangon Region
Nan Htike,"Rm 25, Yankin Rd., Construction Compound, Ward (1),",LED Display Sales & Services,Yankin(Yankin),"tel: 09-420091055,tel: 09-253065646",Yangon Region
KABAR SOPYAY,"Pha Pha-0/9-10,Manaw Hari St.,Between 54 St. and 55 St.,",,,"tel: 09-782334228,tel: 09-782334229",Chan Mya Tharsi
Key Star,"8, Than Thu Mar Rd., (Ga-Gyi) Ward,",Locksmiths,Thingangyun(Thingangyun),"tel: 09-421099001,tel: 09-32341692",Yangon Region
PPP,"226~228, Kyaing Ton St., Industrial Zone (1),",Leather Workshops,South Dagon(South Dagon),"tel: 01-595272,tel: 09-73204739",Yangon Region
"Yangon Odyssey Co.,Ltd.","49, Zar Dat Gyi Kyun St., Ward (18),",Audio Equipment Sales & Repair,South Dagon(South Dagon),"tel: 09-73145256,tel: 09-261707754,tel: 09-782218382",Yangon Region
Htate Tan Family,"E Shed, Rm 39, G Flr, Thein Gyi Market,",Locks,Latha(Latha),"tel: 01-251450,tel: 09-421077799,tel: 01-240600 Ext.4552,tel: 09-73034291,tel: 01-242775 Ext.2066",Yangon Region
"Super Power Electric Industry Co.,Ltd.","G Flr, Shwe Gon Plaza,",Electrical Goods Sales,Bahan(Bahan),"tel: 01-558422,tel: 01-558386,tel: 01-552594,tel: 01-8603223,tel: 01-8603224",Yangon Region
Dagon,"2, Pyi Htaung Su Yeikthar St., Yangon Children Hospital, Pyay (West) Ward,",Libraries,Dagon(Dagon),tel: 09-32361010,Yangon Region
3 Friends,"148, Bargayar Rd., Sanchaung (North) Ward,",Liquor Houses,Sanchaung(Sanchaung),"tel: 09-5093976,tel: 09-402513221,tel: 09-32123300",Yangon Region
"SALES DIRECT CO., LTD.","209/238, Kanaung Min Thar Gyi St.,",Logistics Services,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-793894573,Yangon Region
Myanmar Mobile Money,"Bldg D, Rm 8, Thiri Yadanar Retail/Wholesale Market,",Mobile Banking,North Okkalapa (North Okkalapa ),"tel: 09-31001530,tel: 09-31001531,tel: 09-31001532",Yangon Region
IF Ko Zaw Lay & Kyaw Lay,"E Shed, Rm 6, 1st Flr, Thein Gyi Market,",Locks,Latha(Latha),"tel: 09-73035815,tel: 09-254042845,tel: 01-242488 Ext.2069,tel: 01-376343 [Res]",Yangon Region
Ah Mae Kyae Zue,"1050/A, Bayint Naung Rd., Ward (5),",Lotteries,Shwe Pyi Thar(Shwe Pyi Thar),tel: 09-422550961,Yangon Region
Sky Star,"199, 39th St., Upper Middle Block,",Lighting & Equipment,Kyauktada(Kyauktada),"tel: 09-398528,tel: 09-43030022,tel: 09-5407855,tel: 09-5084654",Yangon Region
D Tun,"16, Zaburit St., Kyun Taw (South) Ward,",Libraries,Sanchaung(Sanchaung),"tel: 01-500530,tel: 09-49276795",Yangon Region
99 Mobile,"Bldg 7, Rm 1, Anawrahta Rd., Shwe Kantharyar Shop House,",Mobile Phone Repairing & Services,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 09-43123528,tel: 09-73116218",Yangon Region
702,"702, Hlaw Gar Rd., Ward (21),",Lotteries,South Dagon(South Dagon),"tel: 09-421064552,tel: 09-420111265",Yangon Region
"Zillion Luck Engineering & Trading Co.,Ltd.","29, Rm B, 1st Flr, Thida St., Say Yoe Dan / Nyein Chan Yay Ward,",Electrical Goods Sales,Kyeemyin Daing(Kyeemyin Daing),"tel: 09-259553355,tel: 09-978998985,tel: 09-788882049",Yangon Region
310,"310/A, Thu Mingalar Rd., Ward (4),",Lotteries,South Okkalapa (South Okkalapa ),"tel: 09-73158319,tel: 09-252040035",Yangon Region
Aung Setkyar & Kaday Kywe,"184/190, 27 St,",,အမွတ္ ၁၈၄/၁၉၀၊ ၂၇ St၊,"tel: 01-252663,tel: 01-242257",Latha
Ah Mae Eain,"819, Shwe Yee St., Corner of Nga Moe Yeik 2nd St.,Nga Moe Yeik Ward,",Lotteries,Thingangyun(Thingangyun),tel: 09-420076763,Yangon Region
Chit Maung [Dr.],"298, 1st St.(North), Gyoh Gone (East) Ward,",Libraries,Insein(Insein),"tel: 01-641613,tel: 01-641934,tel: 01-644904,tel: 01-644935",Yangon Region
Come Clean,"263, 5th Flr, Maha Bandoola Rd.,",Libraries,Botahtaung(Botahtaung),"tel: 01-203027 Ext.125,tel: 01-294109 Ext.125,tel: 01-294128 Ext.125",Yangon Region
Ah Mae Eain,"922,Lay Daunt Kan Rd.,Near San Pya Zay Bus Stop,Nga Moe Yeik Ward",Lotteries,Thingangyun(Thingangyun),"tel: 01-579300,tel: 09-73118846",Yangon
Ah Mae Eain,"50, Oak St. (Kyar Taw Ya ), Shwe Dagon Pagoda (East Entrance), Shwe Nanthar Ward,",Soft Drinks/Juices & Beverages,Bahan(Bahan),tel: 01-380867,Yangon Region
Ah Lin Yaung,"Bldg 2/A,Rm 125,Phan Chet Set St.,Muditar Housing (2)",VCD/DVD & Tapes Rental Services,Insein(Insein),,Yangon
British Council Myanmar,"78, Strand Rd.,",Libraries,Kyauktada(Kyauktada),"tel: 01-370829,tel: 01-370830,tel: 01-370933,tel: 01-370944",Yangon Region
Bawa Shae Saung,"Theingi St.,Ward (5)",Libraries,Thaketa(Thaketa),tel: 09-255939243,Yangon Region
Rainbow,"81, 14th St., Middle Block,",Lighting & Equipment,Lanmadaw(Lanmadaw),"tel: 01-224493,tel: 09-450008616,tel: 09-978922488,tel: 09-450044289,tel: 09-252247553,tel: 09-787180335,tel: 09-787171401",Yangon Region
Bawga Thuta Libraries,"Taw Win St., Corner of Bo Oat Tama St.,Bawga Ward,",Libraries,Kyeemyin Daing(Kyeemyin Daing),tel: 09-73003992,Yangon Region
338 Family,"33 Shed, Rm 8, Kyauk Sein 5th St., Sawbwargyi Gone Warehouses,",Lotteries,Insein(Insein),"tel: 01-655032,tel: 09-799699038",Yangon Region
American Centre,"14, Taw Win St., Pyay (West) Ward,",Libraries,Dagon(Dagon),"tel: 01-223140,tel: 01-223106,tel: 01-221585",Yangon Region
Ever Light [Disco Light],"113, 29th St., Upper Middle Block,",Electrical Goods Sales,Pabedan(Pabedan),"tel: 01-372348,tel: 01-376933,tel: 09-8612368",Yangon Region
"Myat Htake Tan Co.,Ltd.","1, Pan Ni Ta St., Ward (8),",Export & Import Companies,Hlaing(Hlaing),"tel: 09-250342504,tel: 09-250342507,tel: 09-30066611",Yangon Region
Hein,"Rm 533, 3rd Flr, Shwe Mingalar Market, Car Parking (1),",Locks,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-5097190,tel: 09-965097190",Yangon Region
Chit [U],"E Shed, Rm 75/81/85, 1st Flr, Thein Gyi Market,",Locks,Latha(Latha),"tel: 09-5100365,tel: 09-5136385,tel: 01-240600 Ext.4548/4124,tel: 09-5036385",Yangon Region
Blue Star Healthcare Network,"Bldg A,Rm 102,Baho Rd.,Muditar Condo",Libraries,Mayangone(Mayangone),"tel: 09-43111000,tel: 09-450066667",Yangon Region
"ACT [Aung Chan Thar Co.,Ltd.]","377, Bo Soon Pat St., Upper Block,",Lighting & Equipment,Pabedan(Pabedan),"tel: 09-43173165,tel: 09-43025007",Yangon Region
Gold Is Gold Fancy Decoration Enterprise Ltd.,"163, Kon Zay Dan St., Lower Middle Block,",Locks,Pabedan(Pabedan),"tel: 09-5120922,tel: 09-73204780,tel: 01-242775 Ext.2116,tel: 01-386743,tel: 09-73158004",Yangon Region
Casa Lock Sale Centre,"Rm G/16, Gyo Phyu St., Aung San Stadium (North Wing),",Export & Import Companies,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 01-253304,tel: 09-73205667",Yangon Region
Aung Kyaw Thein,"191, 27th St., Upper Block,",Lotteries,Pabedan(Pabedan),"tel: 01-201143,tel: 09-254126215",Yangon Region
