name,street,township,contact,state,Category
262,"B Shed, Rm 262, Thein Gyi Market,",Pabedan, 01370622 Ext.631,Yangon Region,Apparel
Mone Ywar Bote Sone,"Rm G/9, Set Yon Rd. (Mill Rd.), La Min Thar Yar Condo,",Mingalar Taung Nyunt," 0973043081, 095002134, 01205143, 01296402",Yangon Region,Apparel
Mon Ywar [Ko Lwin + Ma Bi],"Rm 446/447/462/463,3rd Flr,Mingalar Market",Mingalar Taung Nyunt," 01294438, 01290196, 019000924",Yangon Region,Apparel
Shwe Dar,"187/306/349, B Shed, Thein Gyi Market,",Pabedan," 095106359, 095160670",Yangon Region,Apparel
"Shwe Ka Thit, Kyar Net","339/341, B Shed, Thein Gyi Market,",Pabedan," 01246061, 095078540, 018610007",Yangon Region,Apparel
Ba Gyan [U],"Rm 822/823,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01205030, 01552392, 095136900, 098612458, 0973046958",Yangon Region,Apparel
Ba Gyi Hmone,"Rm 161/G/3, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 095181005, 09795444626",Yangon Region,Apparel
Ba Gyan [U],"Rm 107,Shwe Mingalar Market",Mingalar Taung Nyunt, 01205030,Yangon Region,Apparel
Aung Pann Thee,"B Shed, Rm 395, Thein Gyi Market,",Pabedan," 095105968, 01370622, 01394866 [Res]",Yangon Region,Apparel
Aye Aye Myint [Daw],"B Shed, Rm 81, Thein Gyi Market,",Pabedan, 01385447,Yangon Region,Apparel
Aye Moe,"B Shed, Rm 1, Thein Gyi Market,",Pabedan, 0931336771,Yangon Region,Apparel
Aye Moe,"B Shed, Rm 158, Thein Gyi Market,",Pabedan, 0943115079,Yangon Region,Apparel
Dar Hna Latt & Pann Chit Thu,"Rm F/5~8,3rd Flr,Shwe Pyae Sone Market",Mingalar Taung Nyunt," 01206206 Ext.6006, 018619161, 095137701, 0973080090, 0973050501",Yangon Region,Apparel
Corn,"B Shed, Rm 193, Thein Gyi Market,",Pabedan," 09450400955, 01370622 Ext.717",Yangon Region,Apparel
Chit Yone [U],"B Shed, Rm 8, Thein Gyi Market,",Pabedan," 01370622 Ext.451, 0931951028, 09260250800",Yangon Region,Apparel
Cherry Oo,"C Shed, Rm O/19, G Flr, Thein Gyi Market,",Pabedan," 095503953, 01371800 Ext.340, 0973121595",Yangon Region,Apparel
Chit Maung [U],"B Shed, Rm 45, Thein Gyi Market,",Pabedan," 01243404, 01370622 Ext.470",Yangon Region,Apparel
Chin Dwin,"C Shed, Rm O/19/20, G Flr, Thein Gyi Market,",Pabedan, 09420173931,Yangon Region,Apparel
Chan Thar,"78, Banyar Dala Rd., Corner of 121th St.,Yae Twin Gone Ward,",Mingalar Taung Nyunt," 01205011, 095081211, 01299632, 095102384, 095020417",Yangon Region,Apparel
Ba Jan [U],"Rm 151/152/G/2, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 01205030, 019000875, 095136900, 01552392 [Res]",Yangon Region,Apparel
Ba Kyee Hmone,"Rm 683,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095185005, 0943020574, 095181005, 01525419 [Res]",Yangon Region,Apparel
Golden Butterfly,"209,Kyaikkasan Rd.,Byine Ywar Ma Ward",Tarmwe," 0973162058, 0949316814",Yangon Region,Apparel
Hla Aung [U],"2 Shed, Rm 128, New Bogyoke Aung San Market,",Pabedan, 01379475 Ext.523,Yangon Region,Apparel
Hla Myint [Daw],"124, 91th St., Kan Daw Kalay (East) Ward,",Mingalar Taung Nyunt, 0973252566,Yangon Region,Apparel
Hla Kyi [U],"562, Karunar 3rd St., Ta Ta Lin Cheik Ward,",North Okkalapa , 0973168665,Yangon Region,Apparel
Chan Thar,"118/B, 25th St., Upper Middle Block,",Pabedan," 01205011, 01241078, 01299632, 01388952, 095020417",Yangon Region,Apparel
Gandamar Nat Thamee,"A Shed, Rm 470, Thein Gyi Market,",Pabedan," 0949263143, 09795372648, 01382884, 0973252653, 0943050261",Yangon Region,Apparel
Eaindray Oo,"Rm 492,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095172316, 01210895 [Res]",Yangon Region,Apparel
Dar Hnit Latt,"60,7th St.,Lower Block",Lanmadaw," 095137701, 0973080090, 098619161",Yangon Region,Apparel
Golden Apple,"Rm 814,G Flr,Mingalar Market",Mingalar Taung Nyunt," 0973112279, 09421178731",Yangon Region,Apparel
Eaindray Oo,"Rm 524,G Flr,Mingalar Market",Mingalar Taung Nyunt," 018619180, 095172315",Yangon Region,Apparel
Dar Hnit Latt,"B Shed, Rm 342/344, Thein Gyi Market,",Pabedan," 01246058, 0973217030",Yangon Region,Apparel
Ka Rein Naung,"Rm 50, G Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 01205637, 012300035, 09795409645, 095107882",Yangon Region,Apparel
Ka Thit Pwint,"Rm 460/461,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 095405097, 0973059039",Yangon Region,Apparel
JOY,"286, Kyaikkasan Rd., Ma Hlwa Gone Htay Kywe Ward,",Tarmwe," 01546141, 01543555, 01430175, 095067099",Yangon Region,Apparel
Ingyin San,"1 Shed, Rm 109, New Bogyoke Aung San Market,",Pabedan," 01384543, 09792807330",Yangon Region,Apparel
Htin Shar,"Rm 637/638,G Flr,Mingalar Market",Mingalar Taung Nyunt," 0973088204, 09250505691",Yangon Region,Apparel
Ingyin Khaing,"B Shed, Rm 259, Thein Gyi Market,",Pabedan," 095194987, 01371822 Ext.639, 01370622 Ext.639, 0973048125",Yangon Region,Apparel
Htin Shar,"Rm 485, Yar Yee Mingalar Market,",Mingalar Taung Nyunt," 0973088204, 09250505691",Yangon Region,Apparel
Htate Tan,"125, Rm 8, Anawrahta Rd., Pansoedan Business Tower,",Kyauktada, 01252779,Yangon Region,Apparel
Htate Tan,"221, Anawrahta Rd.,",Pabedan," 01252778, 095187751",Yangon Region,Apparel
Hlaing Yadanar,"B Shed, Rm 285, Thein Gyi Market,",Pabedan," 01388054, 095139081, 01228763, 01370622 Ext.620, 01371822 Ext.620",Yangon Region,Apparel
Khant Chaw Gyi,"Rm 763/764,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01298330, 095411674, 098610557, 095093427",Yangon Region,Apparel
Khant Chaw Gyi,"Rm 166, 1st Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 095411674, 095093427",Yangon Region,Apparel
Kaung [U],"B Shed, Rm 215, Thein Gyi Market,",Pabedan," 0973157645, 01371822 Ext.134, 01370622 Ext.134",Yangon Region,Apparel
Kaung Star,"Rm 342,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095102818, 09450006293",Yangon Region,Apparel
Kaung Nyunt,"B Shed, Rm 207, Thein Gyi Market,",Pabedan," 0931289136, 01370622 Ext.475/134, 01549793 [Res]",Yangon Region,Apparel
Kant Kaw Myaing,"B Shed, Rm 113/114, Thein Gyi Market,",Pabedan," 095166101, 01370622 Ext.677, 01253780",Yangon Region,Apparel
Ka Yain Naw [Shwe Ngar],"Rm 283/284,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01205637, 019000933, 01206159",Yangon Region,Apparel
Ka Yain Naw,"Rm D-14, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01205637, 01222095, 01206159, 019000933, 012300034",Yangon Region,Apparel
Ka Yain Naw,"Rm 661/662,G Flr,Mingalar Market",Mingalar Taung Nyunt," 019000933, 01205637, 0973053355",Yangon Region,Apparel
Kyin Tin [Daw] [KT Two Elephants],"B Shed, Rm 321/324, Thein Gyi Market,",Pabedan," 095104036, 0973204955, 01210562 [Res], 01370622 Ext.406",Yangon Region,Apparel
Kyaw Myint [U],"34, 140th St., Ma U Gone Ward,",Tarmwe," 01293377, 09250268790",Yangon Region,Apparel
Kyaw Lwin Oo [U],"D Shed, Rm C/101, G Flr, Thein Gyi Market,",Latha, 01240600 Ext.4187,Yangon Region,Apparel
Ka Thit Pwint,"Rm 108, 1st Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt, 09254051947,Yangon Region,Apparel
Kyal Sin,"Rm I-20, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.1069, 0973051505",Yangon Region,Apparel
Kyal Sin,"Rm F-19, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.1049, 0973031811",Yangon Region,Apparel
"Kyun Shwe Wah General Economic Co.,Ltd.","52, Lay Daunt Kan Rd., Bo Kan Nyunt Ward,",Thingangyun, 09798254031,Yangon Region,Apparel
Kyae Nyi Naung,"B Shed, Rm 32, Thein Gyi Market,",Pabedan," 095153384, 01226381 [Res], 01371822 Ext.718",Yangon Region,Apparel
Kyaw Kyar,"55,120th St.,Yae Twin Gone Ward",Mingalar Taung Nyunt," 01202504, 095105459, 0949801762",Yangon Region,Apparel
Khit Thit Wai,"11/A, Bayint Naung Rd., Ward (5),",Shwe Pyi Thar," 0943136596, 0973092258",Yangon Region,Apparel
Khin Htay Win [Ma],"Bldg 24, Rm 001, 1st St., Yuzana Garden City Housing, B Block,",Dagon Seikkan," 09781775701, 09420239974",Yangon Region,Apparel
Manaw May,"B Shed, Rm 34, Thein Gyi Market,",Pabedan," 09250182518, 095189303, 09974227395, 098615279",Yangon Region,Apparel
Maung Oo,"B Shed, Rm 111, Thein Gyi Market,",Pabedan," 01370622 Ext.705, 01371822 Ext.705",Yangon Region,Apparel
Leik Pyar,"Rm 106, G Flr, Shwe Mingalar Market, Entrance (5),",Mingalar Taung Nyunt, 09421144700,Yangon Region,Apparel
Maung Maung Cho,"Rm 25, 1st Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt, 095046349,Yangon Region,Apparel
Lion King,"Bldg 10, Rm 7, Yuzana St., Yuzana Mingalar City Housing,",Tarmwe," 01206024, 092030188",Yangon Region,Apparel
Lab Pwint,"Rm 16, 1st Flr, Mingalar Market,",Mingalar Taung Nyunt, 0973037494,Yangon Region,Apparel
Lay Khin [Daw],"Rm 64/63, 1st Flr, Iron Market,",Latha,,Yangon Region,Apparel
Mahar Nwe [Shwe Pyi Wun],"Rm 429/430,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 01205299, 095011979",Yangon Region,Apparel
La Yeik Phyu,"1 Shed, Rm 92, New Bogyoke Aung San Market,",Pabedan, 0943173676,Yangon Region,Apparel
Lab Pwint,"Rm 79, Taw Win Plaza,",Mingalar Taung Nyunt, 0973037494,Yangon Region,Apparel
Moe Pearl,"Rm 628, 1st Flr, Mingalar Market,",Mingalar Taung Nyunt, 09253354866,Yangon Region,Apparel
Moe Myint May,"Rm K-40, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095170905, 09798162397",Yangon Region,Apparel
Moe Thauk Pann,"Rm 232,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095402934, 09421047117, 09795161021 [Res]",Yangon Region,Apparel
Mingalar,"Rm 107/G/2, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 0973086690, 0973086691",Yangon Region,Apparel
Miba Myittar,"C Shed, Rm O/25, G Flr, Thein Gyi Market,",Pabedan," 01371800 Ext.359, 09428027286",Yangon Region,Apparel
Mingalar Moe,"988/989, Pyin Ma Myaing St., Ward (34),",North Dagon," 018010303, 095028688, 09795627541",Yangon Region,Apparel
Moe Thauk Pann,"Rm 92/92/G/2, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 095402934, 09972169896",Yangon Region,Apparel
Mingalar,"Rm 68/41,G Flr,Mingalar Market",Mingalar Taung Nyunt," 0925012155, 0973086691, 09254012155",Yangon Region,Apparel
Miba Ah Yeik,"C Shed, Rm G, G Flr, Thein Gyi Market,",Pabedan," 01371800 Ext.348, 0949330786",Yangon Region,Apparel
Miba Myittar,"Bogyoke Aung San Rd.,Near Than Din Market,Ward (19)",Shwe Pyi Thar, 0973233005,Yangon Region,Apparel
Mya Kyal Phyu,"Rm 165,G Flr,Mingalar Market",Mingalar Taung Nyunt, 0949262038,Yangon Region,Apparel
Mya Kyar Phyu,"Rm 1, G Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt, 09262386390,Yangon Region,Apparel
Mya Kyar Phyu,"B Shed, Rm 141/144, Thein Gyi Market,",Pabedan," 09250025251, 095028213, 01382600 Ext.141",Yangon Region,Apparel
Mya Kyar Phyu,"Rm 66/75, G Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt, 09455272558,Yangon Region,Apparel
Moe Thiha,"Rm 181/182/G/3, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 0973107145, 095090919",Yangon Region,Apparel
Muditar,"531, Thu Nandar Rd., Ta Ta Lin Cheik Ward,",North Okkalapa , 019691320,Yangon Region,Apparel
Mya Chue,"B Shed, Rm 303, Thein Gyi Market,",Pabedan," 095141490, 01377756, 01706123 [Res], 01382600, 01371822 Ext.101",Yangon Region,Apparel
Monywa,"Bldg 66, Rm 002, Aung Sandar St., Kyan Sit Thar Housing,",Hlaing Thar Yar," 09256312280, 09795184505",Yangon Region,Apparel
Myat Su Khaing,"Rm 715/716,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095013172, 09250737708",Yangon Region,Apparel
Myanmar Han,"47, Mingalar St., Phawh Kan Ward,",Insein," 09428016230, 09421180858",Yangon Region,Apparel
Mya Thazin,"Rm 65, 1st Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 0973196148, 0973196148, 092165297",Yangon Region,Apparel
Mya Thazin,"10, Myaung Gyi St., Galon Ward,",Ahlone," 092165297, 0973196148",Yangon Region,Apparel
Mya Thone Lone,"Rm 38, G Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 095041530, 09777750522",Yangon Region,Apparel
Mya Than [Daw],"B Shed, Rm 80, Thein Gyi Market,",Pabedan, 0949346118,Yangon Region,Apparel
Mya Zin Yaw,"Rm 330, Shwe Mingalar Market, Car Pat Lan,",Mingalar Taung Nyunt," 095177414, 09420001317",Yangon Region,Apparel
Mya Nilar,"B Shed, Rm 179/180, Thein Gyi Market,",Pabedan," 01252707, 095502797, 01205355 [Res]",Yangon Region,Apparel
Mya Thazin,"Rm 330,G Flr,Mingalar Market",Mingalar Taung Nyunt," 092165297, 0973196148",Yangon Region,Apparel
Mya Nan Shwe Yee,"East D Shed, Rm 105, Bogyoke Aung San Market,",Pabedan," 01376445, 01298074 (Res)",Yangon Region,Apparel
Nay Wun Hnin Si,"Rm 227/228,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 098501811, 09250171792",Yangon Region,Apparel
Nay La,"East D Shed, Rm 70/71, Bogyoke Aung San Market,",Pabedan," 09795926791, 09799989307",Yangon Region,Apparel
New Star,"D Shed, Rm B/49, G Flr, Thein Gyi Market,",Latha," 0973103032, 09254831322, 0931628913",Yangon Region,Apparel
Myittar Yay Sin,"Rm 563/564,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 095031987, 0973020909",Yangon Region,Apparel
Nay Wun Hnin Si,"Rm 227/G/3, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 09250171792, 098501811",Yangon Region,Apparel
Myo Thant [U],"Rm 109/G/2, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 0949262038, 09258782825",Yangon Region,Apparel
