contact,name,category,township,street,state
" 0973100829, 09977940459, 0973100829","Max Highway Co.,Ltd.",Construction Services,North Okkalapa ,"Bldg A/2, Rm 6~10, Thiri Yadanar Retail/Wholesale Market,",Yangon Region
" 09420007428, 09421021412, 01240600 Ext.4559, 09420007427",B.M.L,Machinery & Spare Parts Dealers,Latha,"E Shed, Rm 4, G Flr, Thein Gyi Market,",Yangon Region
" 0949302472, 01590498",Dumbo,Groceries,South Dagon,"432, Than Lwin St., Industrial Zone (2),",Yangon Region
" 01221909, 095187374",Bawdimanndaing,,,"85-B,War Dan St.,Corner of Anawrahta Rd.,",Lanmadaw
" 0943021338, 095154192",Than Win [Ko],Textile & Garment Accessories,Tarmwe,"23, 136th St., Ma U Gone Ward,",Yangon Region
" 018619391, 09977211740, 0931288553","Asia Golden Sea Co.,Ltd.",Biscuits [Manu/Dist],Mingalar Taung Nyunt,"62, Myanma Gone Yee St., Phoh Myay Ward,",Yangon Region
" 09420226888, 09450040318","BOK Int'l [Hong Hong] Co.,Ltd.",Textiles,Hlaing Thar Yar,"Rm 7, Yangon-Pathein Rd., Block 1,Nawaday Housing,",Yangon Region
" 01647957, 0973077579",Ba Gyan [U],Laces,Insein,"429, Lower Mingalardon Rd., Corner of Thitsar St.,Sint Ngu Ward,",Yangon Region
 01557381,"Zeyar Phyo Co.,Ltd.",Construction Services,Bahan,"Rm 004, New University Avenue Rd., Shwe Than Lwin Condo,",Yangon Region
" 01240600 Ext.4718, 095113363",Aung Mingalar,Threads,Pabedan,"B Shed, Rm 341, Thein Gyi Market,",Yangon Region
" 01644502, 098633829, 095138518, 0943119135, 095028188","ATC [Aung Tine Chit Co.,Ltd.]",Export & Import Companies,Insein,"98 Shed, Rm 2/3, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
" 019691515, 09963381666",Nan Shan Development Group,Terrazzo,North Okkalapa ,"Bldg E, Rm 16~18, Thiri Yadanar Retail/Wholesale Market,",Yangon Region
" 01382489, 01395157, 01375428",National Theatre,Theatres,Dagon,"Myoma Kyaung Rd.,U Wisara Ward",Yangon Region
" 01548051, 01503695, 0973003116","Aluminium Empire Co.,Ltd.",Aluminium Frames & Furnitures,Tarmwe,"241, Kyaikkasan Rd., Byine Ywar Ma Ward,",Yangon Region
" 09448012891, 095374449",Ah Mae Eain,Timber Merchants,North Dagon,"710, Bayint Naung Rd., Ward (30),",Yangon Region
" 01688122, 0931516423, 0930456357",Yin Tun [U],Tin Materials,Hlaing Thar Yar,"499, Padamyar St., Industrial Zone (5),",Yangon Region
" 01241271, 095131535, 01254282, 095131596","AL-Ameen Int'l Co.,Ltd.",Bathroom & Toilet Accessories,Pabedan,"549,2nd Flr,Maha Bandoola Rd.",Yangon Region
" 095021838, 095123290",Top Dragon,Stainless Steel Wares,Mayangone,"43, Thamaing Butar Yon Rd., Ward (2),",Yangon Region
 09795221465,Naing Oo [U],Tin Materials,Hlaing Thar Yar,"De Pe` Yinn Wun Htauk U Mye` St., Industrial Zone (2),",Yangon Region
" 09421027123, 09781012673",Myat Tun Aung,Tin Materials,Yankin,"27, Thitsar Rd., Ward (11),",Yangon Region
" 01611262, 01611423, 01611424, 01611677","Aung Ceramic Tiles Industries Co.,Ltd.",Tiles [Wall/Floor],Shwe Pyi Thar,"16/23, Thardu Kan St., Thardukan Industrial Zone,",Yangon Region
" 09451389176, 09773875778",Aung Than Myint [U],Tin Materials,Hlaing Thar Yar,"421, Gandawin St., Industrial Zone (5),",Yangon Region
" 09254511249, 09979318172",Bright,Tin Materials,Hlaing Thar Yar,"771, Kyan Sit Thar St., Ward (8),",Yangon Region
" 01378406, 01380037","Trust Link Co.,Ltd.",Export & Import Companies,Kyauktada,"190/194, Rm 5/A, 5th Flr, Pansoedan St., Middle Block,",Yangon Region
" 09450019601, 0949284707, 01645127",AAA,Timber Merchants,Hlaing Thar Yar,"582, Kyan Sit Thar St., Ward (15),",Yangon Region
" 095021698, 01253924","Globe Tailoring Co.,",,,"367, Bogyoke Aung San Rd.,",Pabedan
" 095081675, 01379400, 0973182921","Asian Fortune Co.,Ltd.",Export & Import Companies,Kyauktada,"227, 38th St., Upper Block,",Yangon Region
" 01706672, 018100015, 095088726, 09975015073",3-Star,Brick/Lime/Sand/Gravel & Other Aggregates,South Dagon,"1565, Hlaw Gar Rd., Ward (107),",Yangon Region
" 01374613, 095007749",Aung,Bathroom & Toilet Accessories,Pabedan,"66, 28th St., Lower Middle Block,",Yangon Region
" 09420727354, 0930397091",Tin Wai [U],Tin Materials,Hlaing Thar Yar,"262, U Phoe Hlaing 1st St., Ward (14),",Yangon Region
" 0943105470, 09420287436",Win Pyae Phyo,Timber Merchants,North Okkalapa ,"1, Khay Mar Thi Rd., Sa Lein Ward,",Yangon Region
" 01688131, 01688129",MT,Tin Materials,Hlaing Thar Yar,"515, Gandawin 3rd St., Industrial Zone (5),",Yangon Region
" 09420047958, 09791606277",Mg Y  Ko,Timber Merchants,North Okkalapa ,"Thazin St., Near Bridge,  Hta Wun Bae Ward,",Yangon Region
"09969728190,09969728191",A1,,Thingangyun,"20, U San Phay Rd., Near Thingangyun Market, Sa-Lone/Thu Mingalar Ward",Yangon Region
" 09259567013, 09799206899, 09963468985, 09259569060",Arr Mhan Thit,Tin Materials,Hlaing Thar Yar,"153, Bo Ba Htoo St., Ward (2),",Yangon Region
" 01653387, 09450065800, 09451237877, 09972099960","A+ Decoration Design Material Co.,Ltd.",Tiles [Wall/Floor],Insein,"125, Pyay Rd., 10 Mile, Saw Bwar Gyi Gone Ward,",Yangon Region
" 01541590, 095099224, 0973111757",Myo Daw Housing,,,"1080, Shukhin Thar Myo Patt Rd., Ward (6-East),",Thaketa
" 09785170558, 01638613, 01638614",Shwe Gabar(Ever Winning),Tiles [Wall/Floor],Mingalardon,"8-534/Ka Gyi, Zaw Ti Ka St.,   Ywar Ma (West) Side, Thingangyun Gyi Ward,",Yangon Region
 0973188878,969,Timber Merchants,Hlaing Thar Yar,"41, Maha Bandoola St., Ward (2),",Yangon Region
" 01641738, 095028740",Aung Kyaw Lin,Tailors [Men],Insein,"527/A, Lower Mingalardon Rd., Sint Ngu Ward,",Yangon Region
" 09423750964, 09250977695",A-Star,Timber Merchants,South Dagon,"50, Hlaw Gar Rd., Ward (70),",Yangon Region
 0973011952,Aung Thapyay,,,"60/B, Aung Tha Pyay St., Ward (7-East),",Thaketa
" 01223204, 01224541","Roman(Morning Glory Co., Ltd.)",,,"77, G Flr, 13th St.,",Lanmadaw
" 098621147, 0930451476, 0931086118",333,Timber Merchants,Hlaing Thar Yar,"30, Bo Aung Kyaw St., Ward (13),",Yangon Region
" 01376127, 0973237723, 01240600 Ext.4454",Aung Kaung,Yarn,Latha,"D Shed, Rm C/131/132/133, G Flr, Thein Gyi Market,",Yangon Region
" 09421033644, 09420166671",Aung,Timber Merchants,South Dagon,"82, Hlaw Gar Rd., Ward (104),",Yangon Region
" 09250135290, 09420045387, 0943152676",Ann Kone Gyi,Timber Merchants,Hlaing Thar Yar,"Bo Aung Kyaw St.,Ka-Pa-Ya Compound,Ward (18)",Yangon Region
" 01646707, 01646510, 01644626, 095034781",707,Water Tanks,Insein,"4/10 Shed, Rm A/B/C/D, Kyauk Sein St., Sawbwargyi Gone Warehouses,",Yangon Region
 0973129703,Ann Kone Gyi,Timber Merchants,Hlaing Thar Yar,"118/A, Taung Ngu St., Ward (16),",Yangon Region
" 01242775 Ext.2048, 09420012793, 095412658, 01242488 Ext.3018",969 [KKA],Threads,Latha,"D Shed, Rm C/202~4, G Flr, Thein Gyi Market,",Yangon Region
 095418327,Ah Nyar Thar,Timber Merchants,Hlaing Thar Yar,"435, Seikkanthar St., Yay Oakkan Village,",Yangon Region
 0949228790,Ahnanda Gone Shein,Timber Merchants,South Dagon,"957, Maha Bandoola St., Ward (104),",Yangon Region
