contact,name,township,street,state,Category
" 0973100829, 09977940459, 0973100829","Max Highway Co.,Ltd.",North Okkalapa ,"Bldg A/2, Rm 6~10, Thiri Yadanar Retail/Wholesale Market,",Yangon Region,Construction
 01557381,"Zeyar Phyo Co.,Ltd.",Bahan,"Rm 004, New University Avenue Rd., Shwe Than Lwin Condo,",Yangon Region,Construction
" 0973135777, 0943008099, 0933884777, 0973214777, 0933882777",Autumn Dream Group of Companies,South Okkalapa ,"1/A/45, UZana St., Mya Thidar Housing,",Yangon Region,Construction
" 0973096666, 0973064444","K Future Co.,Ltd.",Pabedan,"258/262, 12th Flr, Strand Rd., Classic Strand Condominium,",Yangon Region,Construction
" 09421000882, 09421000996, 09450045922","Diamond Standard [Diamond Construction Co.,Ltd.]",North Dagon,"A/56, U Wisara Rd., Industrial Zone,",Yangon Region,Construction
" 095002900, 01570518","Golden Hours Co.,Ltd.",Thingangyun,"1032, Thu Mingalar Rd., 16/1 Ward,",Yangon Region,Construction
" 012305686, 012305708, 012305726, 012305727",Supreme Floors,Kamayut,"Bldg B,Rm 001/A,G Flr,Yuzana St.,Yuzana Highway Complex,Ward (6)",Yangon Region,Construction
" 01546273, 01546973, 01546582",Tah Moe Hnye Chan Thar Group of Companies,Bahan,"18/A, Koh Min Koh Chin Rd., Ngarr Htatt Gyee (West) Ward,",Yangon Region,Construction
" 018610654, 018610659, 018610754, 018610656","Oriental Highway Co.,Ltd.",Pazundaung,"44, Thein Phyu St.,",Yangon Region,Construction
" 01514388, 01513102, 01502446, 01513101","The Tokyo Enterprise Co.,Ltd.",Hlaing,"32, Pyay Rd., 6  Mile, Ward (11),",Yangon Region,Construction
" 01401518, 095372370, 09784722247, 095414390, 095113863, 0973179994, 0973157104, 09784711147, 09784733347","Super Rich Man [Yay Nant Thar Trading Co.,Ltd.]",Tarmwe,"29/B, South Race Course Rd., Tarmway Gyee (Kha) Ward,",Yangon Region,Construction
 01579168,"Da Do Construction Co.,Ltd.",Thingangyun,"11/A, Than Thu Mar Rd., Tet Lan Housing, Thuwana/24 Ward,",Yangon Region,Construction
" 01569622, 018560412",G-3 Group Ltd.,Thingangyun,"16, Than Thu Mar Rd., Tet Lan Housing,",Yangon Region,Construction
" 0943041582, 0943166673, 0973057072","Tent Construction Co.,Ltd.",Mayangone,"90/A, 3rd Flr, Kyaik Waing Pagoda Rd., Corner of Ye Yan Aung St.,Ward (3),",Yangon Region,Construction
" 095018709, 095027171","Kyaw Lynn Naing Co.,Ltd. [KLN Group]",Mayangone,"35, Mya Sabei St., Corner of Si Pin St., Ward (9),",Yangon Region,Construction
" 09421063054, 0973151613, 01226314","Geo Kinetic Co.,Ltd.",Kamayut,"Bldg 24, Rm 4, Kun Chan 4th St., Hanthar Yeik Mon Housing,",Yangon Region,Construction
" 01650227, 095065595",Sun Shine Survey Group,Mayangone,"Bldg 1, Rm 24, 2nd Flr, Pyay Rd., Myo Pya Housing (North),",Yangon Region,Construction
" 01650227, 01704890, 095065595",Sun Shine Survey Group,Mayangone,"Bldg 3, Rm 5, 1st Flr, Pyay Rd., Myo Pya Housing (North),",Yangon Region,Construction
" 0943151450, 0973172145",Win,East Dagon,"7, Anawrahta Rd., Ward (1),",Yangon Region,Construction
" 09421016182, 09975430558",Thaw Zin,Hlaing Thar Yar,"484, Sittway St., Ward (9),",Yangon Region,Construction
 0943097748,"Positive Increasing Co.,Ltd.",Hlaing,"433/C, G Flr, Dhamar Yon St., Ward (11),",Yangon Region,Construction
" 012301570, 012317438","Mega Resources Co.,Ltd.",Kyeemyin Daing,"B Shed, 1st Flr, Thiri Mingalar Old Market,",Yangon Region,Construction
" 01516212, 012305384~6, 01706883","Myat Miba Co.,Ltd.",Hlaing,"111, Yangon-Insein Rd., Near Thukha Bus Stop, Ward (9),",Yangon Region,Construction
" 09421144724, 0973046817, 0973241015, 0973181176",Mya Ayeyar Company,South Dagon,"55, Bagan St., East Dagon Industrial Zone (2),",Yangon Region,Construction
" 012300672, 012300677~9","Golden Flower Co.,Ltd.",Lanmadaw,"214,War Dan St.,Upper Block",Yangon Region,Construction
" 01652221, 01657802, 01657781~84","Myanmar Padauk Trading Co.,Ltd.",Mayangone,"12/Da Dwe, Inya Yeikthar St., Ward (10),",Yangon Region,Construction
" 09450051179, 0930330919, 095136673, 0973027166, 092027665",Apex,North Okkalapa ,"Rm B/6/7, Thudhamar Rd., Near Plastic Factory Shop Room, Nga Ward,",Yangon Region,Construction
" 01558321, 01555269 [Res], 095031582","Dawn [Ah Yone Oo] Construction Co.,Ltd.",Bahan,"Rm 508/A/B/602/603/608/B/609/A/703, 6th Flr, Shwe Gon Daing Rd., Yuzana Tower,",Yangon Region,Construction
" 0949340213, 09450024263, 0973069404",D-Zework,Yankin,"1, Moe Kaung Rd., Corner of Thitsar Rd.,Ward (13),",Yangon Region,Construction
 095104690,"Famous Engineering Group Co.,Ltd.",South Dagon,"151/154, Sein Ta Kyaw Thu U Aww St., East Dagon Industrial Zone (2),",Yangon Region,Construction
" 0973027825, 09262296068",Golden Land,Thingangyun,"251, Rm B, Than Thu Mar Rd., Thut Waing Gyee Ward,",Yangon Region,Construction
" 0931299980, 09402615476, 095016196, 095071160, 0973170911","Golden Gift Country Construction Co.,Ltd. [GGC]",South Dagon,"463/464, Tine Tar Min Gyi St., East Dagon Industrial Zone (2),",Yangon Region,Construction
" 09450017044, 09795661544","Wint Phyo Engineering Construction & Decoration Co.,Ltd.",Tarmwe,"15/A, South Race Course Rd., Tarmway Gyee (Kha) Ward,",Yangon Region,Construction
" 0949332494, 09420165686, 09972636730",2 Dimensions,Lanmadaw,"79, 13th St., Middle Block,",Yangon Region,Construction
" 01514591, 01514884, 01538027, 09978877988",Golden Hexagon Group of Companies,Hlaing,"646, 4th Flr, Yangon-Insein Rd., Corner of Hlaing Sabei St.,Hlaing Sabei Yeikmon, Ward (12),",Yangon Region,Construction
" 01514591, 01538027, 01514884, 01538027, 09978877988","Golden Hexagon Engineering Group Co.,Ltd.",Hlaing,"646, Hlaing Sabei St., Hlaing Sabei Yeikmon,",Yangon Region,Construction
" 09421110688, 0931279688",D Mart,North Dagon,"383, Maha Gandar Yone St., Ward (48),",Yangon Region,Construction
" 09254013814, 09795554131",Eain Mingalar Taw,Hlaing,"26, Parami Rd., Ward (16),",Yangon Region,Construction
" 01378480, 095127790, 0973066440, 0973225388","Yoma Nadi Co.,Ltd.",Mingalar Taung Nyunt,"109, 93th St., Kan Daw Kalay (East) Ward,",Yangon Region,Construction
" 018604609, 018604610, 018604611",Lat War Group of Companies,Tarmwe,"51/A, 2nd Flr, East Race Course Rd., Corner of Lay Daunt Kan Rd.,Tarmway Gyee (Kha) Ward,",Yangon Region,Construction
" 01666183, 01663578, 01660361, 01661605, 01650535, 01685136, 01685159, 0973154424","Chin Su [Myanmar] Co.,Ltd.",Mayangone,"Rm 303/304, 3rd Flr, Pyay Rd., Yadanar Housing,",Yangon Region,Construction
" 09976504518, 09250664551, 09260559726","Xim Jin Qiao Co.,Ltd. [Jin Qiao]",North Okkalapa ,"Bldg N, Rm 35, Thiri Yadanar Retail/Wholesale Market,",Yangon Region,Construction
" 09795716023, 09791720520, 01552132, 0943095711","Delta Six Engineering Co.,Ltd.",Tarmwe,"11, Rm 4/B, 4th Flr, Tha Htay St., Ma Hlwa Gone Htay Kywe Ward,",Yangon Region,Construction
" 09451105900, 09451105901","Kyaw Than Zay Co.,Ltd.",Hlaing,"37, U Aye Lane (1), Ward (16),",Yangon Region,Construction
" 01572024, 0973141581, 095119301","Htet UK Group Co.,Ltd.",South Okkalapa ,"124/2, Than Thu Mar Rd., Corner of Shooting Range St., Ward (14/3),",Yangon Region,Construction
