name,category,street,contact,state,township
More Than Water,,"53/A, Bldg 13, 1st Flr, Thamaing Butar Yon Rd., Ward (2),"," 09450021982, 01514104",Yangon Region,Mayangone
Hong Kong(Rain Power),,"283, G Flr, 40th St.,  (upper block),"," 095116410, 0945023986",Yangon Region,Kyauktada
"Full Bright Myanmar Co.,Ltd.",Water Heaters,"115/116,Dana Theiddi St.,Ward (8)"," 09261325077, 01663326, 09261325066, 01664806, 0932244993, 0973229694, 0973143263",Yangon Region,Mayangone
"Full Bright Myanmar Co.,Ltd.",Water Heaters,"11/B,Pyay Rd.,Near A-1 Bus Stop,Ward (5)", 09261325066,Yangon Region,Mayangone
Super Star Fiber Glass,,"Rm 1, 33 Shed, Corner of Kyauk Sein 5th St., Saw Bwar Gyi Gone Warehouses,"," 01644347, 019640068",Yangon Region,Insein
"Myanmar Thailand Int'l Co.,Ltd.",Yogurt,"67, Lay Daunt Kan Rd., (Sa-Lone/Thu Mingalar) Ward,"," 095172019, 09797782510, 018564416, 095144731, 09254723698, 09450016153",Yangon Region,Thingangyun
U Han Myint,,"393 / 396, Set Hmu St.,"," 095130454, 0973068691",Yangon Region,Hlaing Thar Yar
Min Swe [U],Wafers [Manu/Dist],"954/956,Mya Kan St.,Industrial Zone (2)", 0943120051,Yangon Region,South Dagon
Chan Thar Oo,Carpets/Canvas/Mats & Linoleum,"B Shed, Rm 6, G Flr, Insein Market,"," 095181398, 095175626",Yangon Region,Insein
Mingalar Tun,Cold Drinks,"23, Htuparyon St., Corner of Htuparyon 20th St.,Ward (2-North),"," 0973011848, 09423716530, 01450873",Yangon Region,Thaketa
"Unique Innovative Trading Co.,Ltd.",Export & Import Companies,"Bldg SH/B/5, Rm 9, Yadanar Rd., Malikha Garden Housing,"," 018551301~2, 0973211185, 09797788555, 09795451122, 09795451133, 09795452211",Yangon Region,Thingangyun
Amazing Holidays [Hotel & Resort],Tourism Services,"Rm 04/05/06, 6th Flr, Bo Myat Tun Tower (A),"," 01203500, 01203503, 01203565, 0973026655, 019010270",Yangon Region,Botahtaung
Kaung United,,"108, Hnin Si St., Ward (2),"," 095167684, 09965167684",Yangon Region,Mayangone
"LYFE Co.,Ltd.",Landscaping,"26/D, Daw Ni St., (Sa-Lone/Thu Mingalar) Ward,"," 092009829, 09402630279, 09260639592, 09975775201",Yangon Region,Thingangyun
Shwe Thiri,Waterproofing Services,"51, 25th St., Lower Middle Block,"," 01254780, 01252030",Yangon Region,Pabedan
Lay's,Weaving Industries,"111, Lay Daunt Kan Rd., Corner of Myittar St.,Tarmway Lay Ward,"," 01541687, 01542906, 095194731",Yangon Region,Tarmwe
"Mahar Ayeyar Co.,Ltd.",Water Treatment Systems,"95, Shwe Taung Dan St., Middle Block,"," 0973176600, 095176345, 0973166603, 01224663",Yangon Region,Lanmadaw
AN Media,Vinyl Printing,"282, Arthawaddy St., Ward (2),"," 0943030207, 0973106189, 09260010030, 09795889988",Yangon Region,North Okkalapa 
"Kaung Myint Thar [KMT] Engineering Co.,Ltd.",Water Treatment Systems,"Bldg 1, Rm 4, Kyan Sit Thar St., Aung Myay Thar Yar Shop House,", 09421079375,Yangon Region,Hlaing Thar Yar
"Aceplus Solutions Co.,Ltd.",Website Design Services,"Bldg 5, Rm 10, 2nd Flr, MICT Park,"," 012305108, 012305109, 01652270, 01652239, 012305110",Yangon Region,Hlaing
CDA Community Development Association,Water Purification Equipment,"26, Nat Mauk Yeikthar St., Saya San Ward,"," 01430076, 095169985",Yangon Region,Bahan
"Aekar Co.,Ltd.",Water Treatment Systems,"Bldg A, Rm G/12, Pearl Condo,"," 09450059000, 09421149877",Yangon Region,Bahan
Asia Water Treatment,Water Purification Equipment,"Bldg 4/1, Rm 2, Yan Shin St., Shwe Ohn Pin Housing (4),"," 018605073, 095141378, 095048295",Yangon Region,Yankin
Hyundai Wacortec,,"20 / 22, Rm 5 - E, Bldg B, 6th Flr, Alanpya Pagoda Rd.,"," 09253545664, 09261779992",Yangon Region,Mingalar Taung Nyunt
Moedaywah,,"(N-3/ 001), Rm 001, Bldg N/3, Lay Daunt Kan Rd., Min Ye Kyaw Swar Housing,"," 01553681, 09260232800, 09260232900",Yangon Region,Tarmwe
"Asia Face Trading Co.,Ltd. [Double-M]",Water Treatment Systems,"Bldg S/A, Rm 004, G Flr, Lay Daunt Kan Rd., Min Ye Kyaw Swar Housing,"," 095173853, 09421176448, 09420060222",Yangon Region,Tarmwe
Chyun Chyi Environmental Tech [Myanmar],Waterproofing Products,"6/A, Rm 3, Nat Mauk Rd., Nat Mauk Ward,", 01533121,Yangon Region,Tarmwe
"MJ Co.,Ltd. [Daito Filtration]",Waste Disposal Services,"62, 2nd Flr, Marlar Myaing 4th St., Ward (16),"," 09448046044, 09799903951, 09796613090",Yangon Region,Hlaing
"Greatseal Co.,Ltd.",Waterproofing Services,"Bldg 8,Rm 001/002,Aye Yeik Mon 8th St.,Aye Yeik Mon Housing"," 01530531, 01505031, 01530015, 095417036",Yangon Region,Hlaing
"Delight Engineering Co.,Ltd.",Agriculture,"Bldg B, Rm 008, 1st Flr, Hnin Si St., Yuzana Highway Complex,"," 01523836, 01532028",Yangon Region,Kamayut
"Htin Thiha Trading Co.,Ltd.",Export & Import Companies,"254,Rm 71,8th Flr,Seikkanthar St.,Upper Middle Block"," 01392757, 01392759, 01384479, 01398023~4, 01392954, 095069604, 09785069604",Yangon Region,Kyauktada
"John & Maung Co., Ltd.",,"Bldg 15, 2nd Flr, Tha Kywe St.,"," 0973090436, 095174522, 09455752977",Yangon Region,Tarmwe
"Omni Flow System Co.,Ltd.",Water Tanks,"96, Yadanar Myaing St., Ward (1),"," 012304140, 09799655788",Yangon Region,Kamayut
"Shield Technology Co., Ltd.",,"Rm 106, Bldg 4,  Mingalar Sin Min Housing,"," 0973225254, 095043280",Yangon Region,Ahlone
MEHB,,"001, Bldg A, Thu Mingalar Rd., Thit Min Yeik Thar,"," 0973171340, 0973150206",Yangon Region,Thingangyun
"Maxbond Myanmar Co., Ltd.",,"Rm 103, Bldg C-1, Hnin Si St., Highway Complex Condo,  Ward (6)"," 09425291669, 09262764505",Yangon Region,Kamayut
"Greatseal Co., Ltd.",,"Blk 5, Rm 001/002, Bldg 8, Aye Yeik Mon 8th St., Ward (5),"," 01505081, 01530015, 095417036",Yangon Region,Hlaing
"Chyun Chyi Environmental Tech [Myanmar] Co., Ltd.",,"6/A, Rm 3, G Flr, Nat Mauk Rd.,"," 095153121, 09795758309, 09961041144",Yangon Region,Tarmwe
"Aqua Land Myanmar Co.,Ltd.",Export & Import Companies,"9/10/H, May Kha St., May Kha Housing,"," 018566609, 018566621",Yangon Region,Thingangyun
"Amazing Dream Travels & Tours Co.,Ltd.",Tourism Services,"88, 1st Flr, Baho Rd., Mont Let Saung Gone (South) Ward,"," 01534072, 095077968, 095113271",Yangon Region,Sanchaung
"Amalay Best Travels & Tours Co.,Ltd.",Tourism Services,"31, 1st Flr, Si Sone St., Sanchaung (South) Ward,"," 01511223, 09450041818, 09420740713, 01514243",Yangon Region,Sanchaung
"Real Hub Co.,Ltd.",Waterproofing Services,"14, Rm 3, Mar Ga St., Hlaing Myint Moh Housing, Ward (10),"," 09799369768, 09976970353, 09264477843",Yangon Region,Hlaing
"Adventure Phoenix Travel & Tours Co.,Ltd.",Tourism Services,"73/A, Mandalay St., Kan Daw Kalay (West) Ward,"," 01394501, 0943070576, 01394502, 0973029362, 09254549205, 09797758455, 09799804060",Yangon Region,Mingalar Taung Nyunt
"Amazing Asia Travels & Tours Co.,Ltd.",Tourism Services,"151, 1st Flr, 46th St., Upper Block,", 095144933,Yangon Region,Botahtaung
"Advanced Palace Travels & Tours Co.,Ltd.",Air Ticketing Services,"49, G Flr, 42nd St., Lower Block,"," 01373302, 01376755, 01376799, 095412661, 095036146",Yangon Region,Botahtaung
