name,street,contact,state,township,Category
"Full Bright Myanmar Co.,Ltd.","115/116,Dana Theiddi St.,Ward (8)"," 09261325077, 01663326, 09261325066, 01664806, 0932244993, 0973229694, 0973143263",Yangon Region,Mayangone,Equipment & Supplies
"Full Bright Myanmar Co.,Ltd.","11/B,Pyay Rd.,Near A-1 Bus Stop,Ward (5)", 09261325066,Yangon Region,Mayangone,Equipment & Supplies
"Myanmar Thailand Int'l Co.,Ltd.","67, Lay Daunt Kan Rd., (Sa-Lone/Thu Mingalar) Ward,"," 095172019, 09797782510, 018564416, 095144731, 09254723698, 09450016153",Yangon Region,Thingangyun,Food
Kaung Set,"21,U Phee St.,Sanchaung (South) Ward",,Yangon Region,Sanchaung,Food
Mingalar Par,"Anawmar St.,Corner of 19th St.,Pyi Myanmar Co-operative Shop Room,Ward (2-North)"," 09791239787, 0973208105, 09420175494",Yangon Region,Thaketa,Food
Frolick,"2nd Flr,Junction Square"," 01527242 Ext.3042, 0949208005, 098621950, 09791709708",Yangon Region,Kamayut,Food
Thein Myanmar,"210, Baho Rd., Kyun Taw (North) Ward,", 095032476,Yangon Region,Sanchaung,Food
Walco,"20, Mya Nandar 1st St., Mya Thida Ward,"," 0973205542, 0943144283",Yangon Region,Mingalardon,Food
TM,"Aung Zeya St., Corner of Aung Zeya 4th St., Yangon Thit Ward,"," 09790139114, 09254190615",Yangon Region,Thingangyun,Food
Than Oo [Ko],"660/B, Hnin Si 4th St., Hta Wun Bae Ward,", 0930205270,Yangon Region,North Okkalapa ,Food
Min Swe [U],"954/956,Mya Kan St.,Industrial Zone (2)", 0943120051,Yangon Region,South Dagon,Manufacturing
"Millenium Food Production Co.,Ltd.","52, Myawaddy Min Gyi Rd., Industrial Zone (4),"," 01685698, 095009074",Yangon Region,Hlaing Thar Yar,Manufacturing
Kyar Gaung,"167, Sabei St., Industrial Zone (5),", 01688435,Yangon Region,Hlaing Thar Yar,Manufacturing
"Jet Mega Co.,Ltd.","60, Mya Taung Wun Gyi U Hmo St., Industrial Zone (3),"," 01618105, 01618576",Yangon Region,Shwe Pyi Thar,Manufacturing
Diamond Wafer,"89, Hledan St., Middle Block,"," 01225254, 09254112286",Yangon Region,Lanmadaw,Manufacturing
"Brands & Fashion Co.,Ltd.","79/B/1/B/2, Shwe Gon Daing Rd., Near S.S.C Hospital, Shwe Gon Daing (East) Ward,"," 01558989, 01401284, 01401280, 01559403~6",Yangon Region,Bahan,Manufacturing
Zaw Win [U],"862/863, Chaung Thar St., Industrial Zone (2),"," 09450048931, 095066900",Yangon Region,South Dagon,Manufacturing
