contact,name,category,township,street,state
"tel: 09-73100829,tel: 09-977940459,tel: 09-73100829","Max Highway Co.,Ltd.",Construction Services,North Okkalapa (North Okkalapa ),"Bldg A/2, Rm 6~10, Thiri Yadanar Retail/Wholesale Market,",Yangon Region
"tel: 09-420007428,tel: 09-421021412,tel: 01-240600 Ext.4559,tel: 09-420007427",B.M.L,Machinery & Spare Parts Dealers,Latha(Latha),"E Shed, Rm 4, G Flr, Thein Gyi Market,",Yangon Region
"tel: 09-49302472,tel: 01-590498",Dumbo,Groceries,South Dagon(South Dagon),"432, Than Lwin St., Industrial Zone (2),",Yangon Region
"tel: 01-221909,tel: 09-5187374",Bawdimanndaing,,,"85-B,War Dan St.,Corner of Anawrahta Rd.,",Lanmadaw
"tel: 09-43021338,tel: 09-5154192",Than Win [Ko],Textile & Garment Accessories,Tarmwe(Tarmwe),"23, 136th St., Ma U Gone Ward,",Yangon Region
"tel: 01-8619391,tel: 09-977211740,tel: 09-31288553","Asia Golden Sea Co.,Ltd.",Biscuits [Manu/Dist],Mingalar Taung Nyunt(Mingalar Taung Nyunt),"62, Myanma Gone Yee St., Phoh Myay Ward,",Yangon Region
"tel: 09-420226888,tel: 09-450040318","BOK Int'l [Hong Hong] Co.,Ltd.",Textiles,Hlaing Thar Yar(Hlaing Thar Yar),"Rm 7, Yangon-Pathein Rd., Block 1,Nawaday Housing,",Yangon Region
"tel: 01-647957,tel: 09-73077579",Ba Gyan [U],Laces,Insein(Insein),"429, Lower Mingalardon Rd., Corner of Thitsar St.,Sint Ngu Ward,",Yangon Region
tel: 01-557381,"Zeyar Phyo Co.,Ltd.",Construction Services,Bahan(Bahan),"Rm 004, New University Avenue Rd., Shwe Than Lwin Condo,",Yangon Region
"tel: 01-240600 Ext.4718,tel: 09-5113363",Aung Mingalar,Threads,Pabedan(Pabedan),"B Shed, Rm 341, Thein Gyi Market,",Yangon Region
"tel: 01-644502,tel: 09-8633829,tel: 09-5138518,tel: 09-43119135,tel: 09-5028188","ATC [Aung Tine Chit Co.,Ltd.]",Export & Import Companies,Insein(Insein),"98 Shed, Rm 2/3, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region
"tel: 01-9691515,tel: 09-963381666",Nan Shan Development Group,Terrazzo,North Okkalapa (North Okkalapa ),"Bldg E, Rm 16~18, Thiri Yadanar Retail/Wholesale Market,",Yangon Region
"tel: 01-382489,tel: 01-395157,tel: 01-375428",National Theatre,Theatres,Dagon(Dagon),"Myoma Kyaung Rd.,U Wisara Ward",Yangon Region
"tel: 01-548051,tel: 01-503695,tel: 09-73003116","Aluminium Empire Co.,Ltd.",Aluminium Frames & Furnitures,Tarmwe(Tarmwe),"241, Kyaikkasan Rd., Byine Ywar Ma Ward,",Yangon Region
"tel: 09-448012891,tel: 09-5374449",Ah Mae Eain,Timber Merchants,North Dagon(North Dagon),"710, Bayint Naung Rd., Ward (30),",Yangon Region
"tel: 01-688122,tel: 09-31516423,tel: 09-30456357",Yin Tun [U],Tin Materials,Hlaing Thar Yar(Hlaing Thar Yar),"499, Padamyar St., Industrial Zone (5),",Yangon Region
"tel: 01-241271,tel: 09-5131535,tel: 01-254282,tel: 09-5131596","AL-Ameen Int'l Co.,Ltd.",Bathroom & Toilet Accessories,Pabedan(Pabedan),"549,2nd Flr,Maha Bandoola Rd.",Yangon Region
"tel: 09-5021838,tel: 09-5123290",Top Dragon,Stainless Steel Wares,Mayangone(Mayangone),"43, Thamaing Butar Yon Rd., Ward (2),",Yangon Region
tel: 09-795221465,Naing Oo [U],Tin Materials,Hlaing Thar Yar(Hlaing Thar Yar),"De Pe` Yinn Wun Htauk U Mye` St., Industrial Zone (2),",Yangon Region
"tel: 09-421027123,tel: 09-781012673",Myat Tun Aung,Tin Materials,Yankin(Yankin),"27, Thitsar Rd., Ward (11),",Yangon Region
"tel: 01-611262,tel: 01-611423,tel: 01-611424,tel: 01-611677","Aung Ceramic Tiles Industries Co.,Ltd.",Tiles [Wall/Floor],Shwe Pyi Thar(Shwe Pyi Thar),"16/23, Thardu Kan St., Thardukan Industrial Zone,",Yangon Region
"tel: 09-451389176,tel: 09-773875778",Aung Than Myint [U],Tin Materials,Hlaing Thar Yar(Hlaing Thar Yar),"421, Gandawin St., Industrial Zone (5),",Yangon Region
"tel: 09-254511249,tel: 09-979318172",Bright,Tin Materials,Hlaing Thar Yar(Hlaing Thar Yar),"771, Kyan Sit Thar St., Ward (8),",Yangon Region
"tel: 01-378406,tel: 01-380037","Trust Link Co.,Ltd.",Export & Import Companies,Kyauktada(Kyauktada),"190/194, Rm 5/A, 5th Flr, Pansoedan St., Middle Block,",Yangon Region
"tel: 09-450019601,tel: 09-49284707,tel: 01-645127",AAA,Timber Merchants,Hlaing Thar Yar(Hlaing Thar Yar),"582, Kyan Sit Thar St., Ward (15),",Yangon Region
"tel: 09-5021698,tel: 01-253924","Globe Tailoring Co.,",,,"367, Bogyoke Aung San Rd.,",Pabedan
"tel: 09-5081675,tel: 01-379400,tel: 09-73182921","Asian Fortune Co.,Ltd.",Export & Import Companies,Kyauktada(Kyauktada),"227, 38th St., Upper Block,",Yangon Region
"tel: 01-706672,tel: 01-8100015,tel: 09-5088726,tel: 09-975015073",3-Star,Brick/Lime/Sand/Gravel & Other Aggregates,South Dagon(South Dagon),"1565, Hlaw Gar Rd., Ward (107),",Yangon Region
"tel: 01-374613,tel: 09-5007749",Aung,Bathroom & Toilet Accessories,Pabedan(Pabedan),"66, 28th St., Lower Middle Block,",Yangon Region
"tel: 09-420727354,tel: 09-30397091",Tin Wai [U],Tin Materials,Hlaing Thar Yar(Hlaing Thar Yar),"262, U Phoe Hlaing 1st St., Ward (14),",Yangon Region
"tel: 09-43105470,tel: 09-420287436",Win Pyae Phyo,Timber Merchants,North Okkalapa (North Okkalapa ),"1, Khay Mar Thi Rd., Sa Lein Ward,",Yangon Region
"tel: 01-688131,tel: 01-688129",MT,Tin Materials,Hlaing Thar Yar(Hlaing Thar Yar),"515, Gandawin 3rd St., Industrial Zone (5),",Yangon Region
"tel: 09-420047958,tel: 09-791606277",Mg Yè Ko,Timber Merchants,North Okkalapa (North Okkalapa ),"Thazin St., Near Bridge,  Hta Wun Bae Ward,",Yangon Region
"tel:09969728190,tel:09969728191",A1,,Thingangyun,"20, U San Phay Rd., Near Thingangyun Market, Sa-Lone/Thu Mingalar Ward",Yangon Region
"tel: 09-259567013,tel: 09-799206899,tel: 09-963468985,tel: 09-259569060",Arr Mhan Thit,Tin Materials,Hlaing Thar Yar(Hlaing Thar Yar),"153, Bo Ba Htoo St., Ward (2),",Yangon Region
"tel: 01-653387,tel: 09-450065800,tel: 09-451237877,tel: 09-972099960","A+ Decoration Design Material Co.,Ltd.",Tiles [Wall/Floor],Insein(Insein),"125, Pyay Rd., 10 Mile, Saw Bwar Gyi Gone Ward,",Yangon Region
"tel: 01-541590,tel: 09-5099224,tel: 09-73111757",Myo Daw Housing,,အမွတ္ ၁၀၈၀၊ ရႈခင္းသာျမို႕ပတ္လမ္း၊ (၆-အေရွ႕)ရပ္ကြက္၊,"1080, Shukhin Thar Myo Patt Rd., Ward (6-East),",Thaketa
"tel: 09-785170558,tel: 01-638613,tel: 01-638614",Shwe Gabar(Ever Winning),Tiles [Wall/Floor],Mingalardon(Mingalardon),"8-534/Ka Gyi, Zaw Ti Ka St.,   Ywar Ma (West) Side, Thingangyun Gyi Ward,",Yangon Region
tel: 09-73188878,969,Timber Merchants,Hlaing Thar Yar(Hlaing Thar Yar),"41, Maha Bandoola St., Ward (2),",Yangon Region
"tel: 01-641738,tel: 09-5028740",Aung Kyaw Lin,Tailors [Men],Insein(Insein),"527/A, Lower Mingalardon Rd., Sint Ngu Ward,",Yangon Region
"tel: 09-423750964,tel: 09-250977695",A-Star,Timber Merchants,South Dagon(South Dagon),"50, Hlaw Gar Rd., Ward (70),",Yangon Region
tel: 09-73011952,Aung Thapyay,,,"60/B, Aung Tha Pyay St., Ward (7-East),",Thaketa
"tel: 01-223204,tel: 01-224541","Roman(Morning Glory Co., Ltd.)",,,"77, G Flr, 13th St.,",Lanmadaw
"tel: 09-8621147,tel: 09-30451476,tel: 09-31086118",333,Timber Merchants,Hlaing Thar Yar(Hlaing Thar Yar),"30, Bo Aung Kyaw St., Ward (13),",Yangon Region
"tel: 01-376127,tel: 09-73237723,tel: 01-240600 Ext.4454",Aung Kaung,Yarn,Latha(Latha),"D Shed, Rm C/131/132/133, G Flr, Thein Gyi Market,",Yangon Region
"tel: 09-421033644,tel: 09-420166671",Aung,Timber Merchants,South Dagon(South Dagon),"82, Hlaw Gar Rd., Ward (104),",Yangon Region
"tel: 09-250135290,tel: 09-420045387,tel: 09-43152676",Ann Kone Gyi,Timber Merchants,Hlaing Thar Yar(Hlaing Thar Yar),"Bo Aung Kyaw St.,Ka-Pa-Ya Compound,Ward (18)",Yangon Region
"tel: 01-646707,tel: 01-646510,tel: 01-644626,tel: 09-5034781",707,Water Tanks,Insein(Insein),"4/10 Shed, Rm A/B/C/D, Kyauk Sein St., Sawbwargyi Gone Warehouses,",Yangon Region
tel: 09-73129703,Ann Kone Gyi,Timber Merchants,Hlaing Thar Yar(Hlaing Thar Yar),"118/A, Taung Ngu St., Ward (16),",Yangon Region
"tel: 01-242775 Ext.2048,tel: 09-420012793,tel: 09-5412658,tel: 01-242488 Ext.3018",969 [KKA],Threads,Latha(Latha),"D Shed, Rm C/202~4, G Flr, Thein Gyi Market,",Yangon Region
tel: 09-5418327,Ah Nyar Thar,Timber Merchants,Hlaing Thar Yar(Hlaing Thar Yar),"435, Seikkanthar St., Yay Oakkan Village,",Yangon Region
tel: 09-49228790,Ahnanda Gone Shein,Timber Merchants,South Dagon(South Dagon),"957, Maha Bandoola St., Ward (104),",Yangon Region
"tel: 01-371800 Ext.375,tel: 09-5404566",555,Yarn,Pabedan(Pabedan),"B Shed, Rm 342, Thein Gyi Market,",Yangon Region
"tel: 01-618260,tel: 01-618431,tel: 09-254298360","Kong Bao Development Co.,Ltd. [Hafary]",Tiles [Wall/Floor],North Okkalapa (North Okkalapa ),"Bldg H, Rm 10/11, Thiri Yadanar Retail/Wholesale Market,",Yangon Region
"tel: 09-798989627,tel: 09-73113899",Ah Tar [U],Threads,South Okkalapa (South Okkalapa ),"347, Yarza Di Yit 26th St., Ward (7),",Yangon Region
"tel: 09-6809006,tel: 09-73043646,tel: 09-5507888,tel: 09-43098884",Kyauk Sue,Tiles [Wall/Floor],Shwe Pyi Thar(Shwe Pyi Thar),"42/90, Set Hmu Zone Rd., Industrial Zone (1),",Yangon Region
"tel: 09-421125706,tel: 09-43098176,tel: 09-73091372",Grate Wall,Tiles [Wall/Floor],Mayangone(Mayangone),"111, Min Ye Kyaw Swar St., Corner of Tapin Shwe Htee St.,Ward (1),",Yangon Region
"tel: 01-566897,tel: 01-566898,tel: 01-570752","Good Stone Int'l Co.,Ltd.",Tiles [Wall/Floor],Thingangyun(Thingangyun),"37, Khay Mar Thi 3rd St., Mi Gyaung Kan Ward (3),",Yangon Region
"tel: 01-655031,tel: 09-5090786,tel: 09-73017337,tel: 01-647778,tel: 09-785090786",Golden Crown,Tiles [Wall/Floor],Insein(Insein),"13 Shed, Rm 8, Pearl 7th St., Sawbwargyi Gone Warehouses,",Yangon Region
"tel: 09-73125235,tel: 09-73125237,tel: 09-450024815",Gather Permanent Construction Materials,Tiles [Wall/Floor],North Okkalapa (North Okkalapa ),"182, Bayint Naung St., Industrial Zone,",Yangon Region
"tel: 09-5085578,tel: 09-796536289,tel: 09-972103113,tel: 09-260984288",Junction 5,Tiles [Wall/Floor],Insein(Insein),"36 Shed, Rm 8, Kyauk Sein 3rd St., Sawbwargyi Gone Warehouses,",Yangon Region
"tel: 09-30000087,tel: 01-667591,tel: 09-32075245~7,tel: 09-252257799",G-Seven,Tiles [Wall/Floor],Insein(Insein),"951,Pyay Rd.,Near 10 Mile,Saw Bwar Gyi Gone Ward",Yangon Region
tel: 09-420258867,Aung Kabar Kyaw,Timber Merchants,South Dagon(South Dagon),"Hlaw Gar Rd.,Ward (105)",Yangon Region
"tel: 09-253674420,tel: 09-420222343",Aung Hein,Timber Merchants,South Dagon(South Dagon),"667, Kyauk Sein Myat Yadanar St., Ward (56),",Yangon Region
"tel: 09-5090021,tel: 09-43185155",Aung,Timber Merchants,Hlaing Thar Yar(Hlaing Thar Yar),"531, Taung Ngu St., Ward (15),",Yangon Region
"tel: 09-450017700,tel: 09-49570889,tel: 09-5179451",Aung Chan Thar,Timber Merchants,Hlaing Thar Yar(Hlaing Thar Yar),"1558/A, Kyan Sit Thar St., Ward (19),",Yangon Region
