name,category,street,contact,state,township
More Than Water,,"53/A, Bldg 13, 1st Flr, Thamaing Butar Yon Rd., Ward (2),","tel: 09-450021982,tel: 01-514104",Mayangone,အမွတ္ ၅၃/A၊ တိုက္ ၁၃၊ ပထမထပ္၊ သမိုင္းဘူတာရံုလမ္း၊ (၂)ရပ္ကြက္၊
Hong Kong(Rain Power),,"283, G Flr, 40th St.,  (upper block),","tel: 09-5116410,tel: 09-45023986",Kyauktada,
"Full Bright Myanmar Co.,Ltd.",Water Heaters,"115/116,Dana Theiddi St.,Ward (8)","tel: 09-261325077,tel: 01-663326,tel: 09-261325066,tel: 01-664806,tel: 09-32244993,tel: 09-73229694,tel: 09-73143263",Yangon Region,Mayangone(Mayangone)
"Full Bright Myanmar Co.,Ltd.",Water Heaters,"11/B,Pyay Rd.,Near A-1 Bus Stop,Ward (5)",tel: 09-261325066,Yangon Region,Mayangone(Mayangone)
Super Star Fiber Glass,,"Rm 1, 33 Shed, Corner of Kyauk Sein 5th St., Saw Bwar Gyi Gone Warehouses,","tel: 01-644347,tel: 01-9640068",Insein,အခန္း ၁၊ ႐ံု-၃၃၊ ေက်ာက္စိမ္း(၅)လမ္း ေထာင့္၊ ေစာ္ဘြားႀကီးကုန္းအေ၀းေျပး၀င္း၊
"Myanmar Thailand Int'l Co.,Ltd.",Yogurt,"67, Lay Daunt Kan Rd., (Sa-Lone/Thu Mingalar) Ward,","tel: 09-5172019,tel: 09-797782510,tel: 01-8564416,tel: 09-5144731,tel: 09-254723698,tel: 09-450016153",Yangon Region,Thingangyun(Thingangyun)
U Han Myint,,"393 / 396, Set Hmu St.,","tel: 09-5130454,tel: 09-73068691",Hlaing Thar Yar,
Min Swe [U],Wafers [Manu/Dist],"954/956,Mya Kan St.,Industrial Zone (2)",tel: 09-43120051,Yangon,South Dagon(South Dagon)
Chan Thar Oo,Carpets/Canvas/Mats & Linoleum,"B Shed, Rm 6, G Flr, Insein Market,","tel: 09-5181398,tel: 09-5175626",Yangon Region,Insein(Insein)
Mingalar Tun,Cold Drinks,"23, Htuparyon St., Corner of Htuparyon 20th St.,Ward (2-North),","tel: 09-73011848,tel: 09-423716530,tel: 01-450873",Yangon Region,Thaketa(Thaketa)
"Unique Innovative Trading Co.,Ltd.",Export & Import Companies,"Bldg SH/B/5, Rm 9, Yadanar Rd., Malikha Garden Housing,","tel: 01-8551301~2,tel: 09-73211185,tel: 09-797788555,tel: 09-795451122,tel: 09-795451133,tel: 09-795452211",Yangon Region,Thingangyun(Thingangyun)
Amazing Holidays [Hotel & Resort],Tourism Services,"Rm 04/05/06, 6th Flr, Bo Myat Tun Tower (A),","tel: 01-203500,tel: 01-203503,tel: 01-203565,tel: 09-73026655,tel: 01-9010270",Yangon Region,Botahtaung(Botahtaung)
Kaung United,,"108, Hnin Si St., Ward (2),","tel: 09-5167684,tel: 09-965167684",Mayangone,
"LYFE Co.,Ltd.",Landscaping,"26/D, Daw Ni St., (Sa-Lone/Thu Mingalar) Ward,","tel: 09-2009829,tel: 09-402630279,tel: 09-260639592,tel: 09-975775201",Yangon Region,Thingangyun(Thingangyun)
Shwe Thiri,Waterproofing Services,"51, 25th St., Lower Middle Block,","tel: 01-254780,tel: 01-252030",Yangon Region,Pabedan(Pabedan)
Lay's,Weaving Industries,"111, Lay Daunt Kan Rd., Corner of Myittar St.,Tarmway Lay Ward,","tel: 01-541687,tel: 01-542906,tel: 09-5194731",Yangon Region,Tarmwe(Tarmwe)
"Mahar Ayeyar Co.,Ltd.",Water Treatment Systems,"95, Shwe Taung Dan St., Middle Block,","tel: 09-73176600,tel: 09-5176345,tel: 09-73166603,tel: 01-224663",Yangon Region,Lanmadaw(Lanmadaw)
AN Media,Vinyl Printing,"282, Arthawaddy St., Ward (2),","tel: 09-43030207,tel: 09-73106189,tel: 09-260010030,tel: 09-795889988",Yangon Region,North Okkalapa (North Okkalapa )
"Kaung Myint Thar [KMT] Engineering Co.,Ltd.",Water Treatment Systems,"Bldg 1, Rm 4, Kyan Sit Thar St., Aung Myay Thar Yar Shop House,",tel: 09-421079375,Yangon Region,Hlaing Thar Yar(Hlaing Thar Yar)
"Aceplus Solutions Co.,Ltd.",Website Design Services,"Bldg 5, Rm 10, 2nd Flr, MICT Park,","tel: 01-2305108,tel: 01-2305109,tel: 01-652270,tel: 01-652239,tel: 01-2305110",Yangon Region,Hlaing(Hlaing)
CDA Community Development Association,Water Purification Equipment,"26, Nat Mauk Yeikthar St., Saya San Ward,","tel: 01-430076,tel: 09-5169985",Yangon Region,Bahan(Bahan)
"Aekar Co.,Ltd.",Water Treatment Systems,"Bldg A, Rm G/12, Pearl Condo,","tel: 09-450059000,tel: 09-421149877",Yangon Region,Bahan(Bahan)
Asia Water Treatment,Water Purification Equipment,"Bldg 4/1, Rm 2, Yan Shin St., Shwe Ohn Pin Housing (4),","tel: 01-8605073,tel: 09-5141378,tel: 09-5048295",Yangon Region,Yankin(Yankin)
Hyundai Wacortec,,"20 / 22, Rm 5 - E, Bldg B, 6th Flr, Alanpya Pagoda Rd.,","tel: 09-253545664,tel: 09-261779992",Mingalar Taung Nyunt,အမွတ္ ၂၀ / ၂၂၊ အခန္း ၅ - E၊ တိုက္ B၊ ၆ထပ္  ၊ အလံျပဘုရားလမ္း၊
Moedaywah,,"(N-3/ 001), Rm 001, Bldg N/3, Lay Daunt Kan Rd., Min Ye Kyaw Swar Housing,","tel: 01-553681,tel: 09-260232800,tel: 09-260232900",Tarmwe,အမွတ္ (N-၃/ ၀၀၁)၊ အခန္း ၀၀၁၊ တိုက္ N/၃၊ ေလးေထာင့္ကန္လမ္း၊ မင္းရဲေက်ာ္စြာအိမ္ရာ၊
"Asia Face Trading Co.,Ltd. [Double-M]",Water Treatment Systems,"Bldg S/A, Rm 004, G Flr, Lay Daunt Kan Rd., Min Ye Kyaw Swar Housing,","tel: 09-5173853,tel: 09-421176448,tel: 09-420060222",Yangon Region,Tarmwe(Tarmwe)
Chyun Chyi Environmental Tech [Myanmar],Waterproofing Products,"6/A, Rm 3, Nat Mauk Rd., Nat Mauk Ward,",tel: 01-533121,Yangon Region,Tarmwe(Tarmwe)
"MJ Co.,Ltd. [Daito Filtration]",Waste Disposal Services,"62, 2nd Flr, Marlar Myaing 4th St., Ward (16),","tel: 09-448046044,tel: 09-799903951,tel: 09-796613090",Yangon Region,Hlaing(Hlaing)
"Greatseal Co.,Ltd.",Waterproofing Services,"Bldg 8,Rm 001/002,Aye Yeik Mon 8th St.,Aye Yeik Mon Housing","tel: 01-530531,tel: 01-505031,tel: 01-530015,tel: 09-5417036",Yangon Region,Hlaing(Hlaing)
"Delight Engineering Co.,Ltd.",Agriculture,"Bldg B, Rm 008, 1st Flr, Hnin Si St., Yuzana Highway Complex,","tel: 01-523836,tel: 01-532028",Yangon Region,Kamayut(Kamayut)
"Htin Thiha Trading Co.,Ltd.",Export & Import Companies,"254,Rm 71,8th Flr,Seikkanthar St.,Upper Middle Block","tel: 01-392757,tel: 01-392759,tel: 01-384479,tel: 01-398023~4,tel: 01-392954,tel: 09-5069604,tel: 09-785069604",Yangon Region,Kyauktada(Kyauktada)
"John & Maung Co., Ltd.",,"Bldg 15, 2nd Flr, Tha Kywe St.,","tel: 09-73090436,tel: 09-5174522,tel: 09-455752977",Tarmwe,
"Omni Flow System Co.,Ltd.",Water Tanks,"96, Yadanar Myaing St., Ward (1),","tel: 01-2304140,tel: 09-799655788",Yangon Region,Kamayut(Kamayut)
"Shield Technology Co., Ltd.",,"Rm 106, Bldg 4,  Mingalar Sin Min Housing,","tel: 09-73225254,tel: 09-5043280",Ahlone,
MEHB,,"001, Bldg A, Thu Mingalar Rd., Thit Min Yeik Thar,","tel: 09-73171340,tel: 09-73150206",Thingangyun,အမွတ္ ၀၀၁၊ တိုက္ A၊ သုမဂၤလာလမ္း၊ သစ္မင္းရိပ္သာ၊
"Maxbond Myanmar Co., Ltd.",,"Rm 103, Bldg C-1, Hnin Si St., Highway Complex Condo,  Ward (6)","tel: 09-425291669,tel: 09-262764505",Kamayut,
"Greatseal Co., Ltd.",,"Blk 5, Rm 001/002, Bldg 8, Aye Yeik Mon 8th St., Ward (5),","tel: 01-505081,tel: 01-530015,tel: 09-5417036",Hlaing,အခန္း ၀၀၁/၀၀၂၊ တိုက္ ၈၊ ေအးရိပ္မြန္(၈)လမ္း၊ (၅)ရပ္ကြက္၊
"Chyun Chyi Environmental Tech [Myanmar] Co., Ltd.",,"6/A, Rm 3, G Flr, Nat Mauk Rd.,","tel: 09-5153121,tel: 09-795758309,tel: 09-961041144",Tarmwe,အမွတ္ ၆/A၊ အခန္း ၃၊ ေျမညီထပ္၊ နတ္ေမာက္လမ္း၊
"Aqua Land Myanmar Co.,Ltd.",Export & Import Companies,"9/10/H, May Kha St., May Kha Housing,","tel: 01-8566609,tel: 01-8566621",Yangon Region,Thingangyun(Thingangyun)
"Amazing Dream Travels & Tours Co.,Ltd.",Tourism Services,"88, 1st Flr, Baho Rd., Mont Let Saung Gone (South) Ward,","tel: 01-534072,tel: 09-5077968,tel: 09-5113271",Yangon Region,Sanchaung(Sanchaung)
"Amalay Best Travels & Tours Co.,Ltd.",Tourism Services,"31, 1st Flr, Si Sone St., Sanchaung (South) Ward,","tel: 01-511223,tel: 09-450041818,tel: 09-420740713,tel: 01-514243",Yangon Region,Sanchaung(Sanchaung)
"Real Hub Co.,Ltd.",Waterproofing Services,"14, Rm 3, Mar Ga St., Hlaing Myint Moh Housing, Ward (10),","tel: 09-799369768,tel: 09-976970353,tel: 09-264477843",Yangon Region,Hlaing(Hlaing)
"Adventure Phoenix Travel & Tours Co.,Ltd.",Tourism Services,"73/A, Mandalay St., Kan Daw Kalay (West) Ward,","tel: 01-394501,tel: 09-43070576,tel: 01-394502,tel: 09-73029362,tel: 09-254549205,tel: 09-797758455,tel: 09-799804060",Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
"Amazing Asia Travels & Tours Co.,Ltd.",Tourism Services,"151, 1st Flr, 46th St., Upper Block,",tel: 09-5144933,Yangon Region,Botahtaung(Botahtaung)
"Advanced Palace Travels & Tours Co.,Ltd.",Air Ticketing Services,"49, G Flr, 42nd St., Lower Block,","tel: 01-373302,tel: 01-376755,tel: 01-376799,tel: 09-5412661,tel: 09-5036146",Yangon Region,Botahtaung(Botahtaung)
Airtour Myanmar,Tourism Services,"Bldg C/1, Rm 001, G Flr, Hnin Si St., Yuzana Highway Complex,","tel: 01-539977,tel: 01-539974,tel: 01-539975,tel: 01-539976,tel: 09-252771122,tel: 09-252771133,tel: 09-252771144",Yangon Region,Kamayut(Kamayut)
"Alai Paing Thar Travels & Tours Co.,Ltd.",Tourism Services,"151/153, 1st Flr, 34th St., Upper Block, Ward (2),","tel: 01-378578,tel: 01-384037,tel: 09-5129195,tel: 09-43163947",Yangon Region,Kyauktada(Kyauktada)
Yay Nagar,Water Tanks,"492, Lower Pazundaung Rd.,","tel: 09-425297373,tel: 09-252183013",Yangon Region,Pazundaung(Pazundaung)
"Myo Painting Group Co.,Ltd.",Parquet Floorings,"7/F, Lan Thit Rd., Infront Of Ah Lein Ngar Sint Pagoda, Nant Thar Gone Ward,","tel: 01-646185,tel: 01-643604,tel: 09-5154176",Yangon Region,Insein(Insein)
Khin Sann Win [Daw],Bags [School Bags],"510, Than Din Su St., Pauk Taw Ward,","tel: 09-49501609,tel: 09-421091129,tel: 09-31073829",Yangon Region,Insein(Insein)
"A-Ray Myanmar Travels & Tours Co.,Ltd.",Tourism Services,"84, 2nd Flr, Myanma Gone Yee St., Kan Daw Kalay (East) Ward,","tel: 01-394410,tel: 09-425276073,tel: 09-73161301,tel: 09-5077562",Yangon Region,Mingalar Taung Nyunt(Mingalar Taung Nyunt)
Tourism Myanmar Co-Op Ltd,,"165, 35th St., Middle Block,","tel: 09-8623435,tel: 09-774204020,tel: 01-381200",Kyauktada,အမွတ္ ၁၆၅၊ (၃၅)လမ္း၊ အလယ္ဘေလာက္၊
Maung Cho,Waterproofing Products,"Thar Yar Gone St.,Mee Ya Htar Compound,Nant Thar Gone Ward","tel: 09-31076741,tel: 09-49253830",Yangon Region,Insein(Insein)
"Real Hub Co., Ltd.",,"14, Rm 3, Mar Ga St., Hlaing Myint Moh Housing,","tel: 09-799369768,tel: 09-976970353",Hlaing,အမွတ္ ၁၄၊ အခန္း ၃၊ မာဃလမ္း၊ လိႈင္ျမင္႕မိုရ္အိမ္ရာ၊
Kyaw Nyein [U],Bags [School Bags],"555, Thiri Yadanar 1st St., Pauk Taw Ward,",tel: 09-32181803,Yangon Region,Insein(Insein)
Hla Myaing [U],Bags [School Bags],"509, Than Din Su St., Pauk Taw Ward,","tel: 01-646063,tel: 09-421057719,tel: 09-420308699",Yangon Region,Insein(Insein)
Hydro Serl,Waterproofing Products,"Bldg 5, Rm 002, G Flr, Strand Rd., Thiri Mingalar Housing,","tel: 09-73055232,tel: 09-421101948,tel: 09-425371854",Yangon Region,Ahlone(Ahlone)
Kan Win [U],Bags [School Bags],"79, Khay Mar St., Kannar (Mid) Ward,","tel: 01-644995,tel: 09-5406233,tel: 09-259267622",Yangon Region,Insein(Insein)
"Aung Su Wai Travels & Tours Co.,Ltd.",Tourism Services,"Bldg 388, Rm 9, 2nd Flr, Set Hmu (1) Rd., Saya San Ward,","tel: 01-543189,tel: 09-258922562,tel: 09-258922563,tel: 09-258922564,tel: 09-258922560",Yangon Region,Bahan(Bahan)
"Auto Net Travels & Tours Co.,Ltd.",Tourism Services,"295/A, 1st Flr, 40th St., Upper Block,","tel: 01-245396,tel: 09-421024256,tel: 09-73020507",Yangon Region,Kyauktada(Kyauktada)
"ASMAH Travels & Tours Co.,Ltd.",Tourism Services,"220, 40th St., Upper Middle Block,","tel: 01-246521,tel: 09-448019639,tel: 09-5003919",Yangon Region,Kyauktada(Kyauktada)
"Avery Group Co.,Ltd.",Tourism Services,"11/K, U Loon Mg 2nd St., Near 7 Mile, Ward (7),",tel: 09-254677430,Yangon Region,Mayangone(Mayangone)
"Asian Elegant Travels & Tours Co.,Ltd.",Tourism Services,"220, 1st Flr, 37th St., Upper Block,","tel: 01-371680,tel: 09-421091550,tel: 09-421158487,tel: 09-250028337",Yangon Region,Kyauktada(Kyauktada)
"Arise Halo Travels & Tours Co.,Ltd.",Tourism Services,"Bldg 71, Rm 5, Bayint Naung Rd., Bayint Naung Housing,","tel: 01-513720,tel: 09-968380162",Yangon Region,Hlaing(Hlaing)
"Shwe Hpon Shein Co.,Ltd.",Export & Import Companies,"Rm 105, G Flr, Pyay Rd., Yadanar Housing,","tel: 09-49291900,tel: 09-5074532,tel: 01-665774",Yangon Region,Mayangone(Mayangone)
"Myanmar Int'l FAC System Co.,Ltd.",Paint & Varnish,"Rm 1104, Kyaikkasan Rd., Kan Taw Gyi Tower,","tel: 01-553974,tel: 01-554967,tel: 09-252123345,tel: 09-263891934,tel: 09-254969260,tel: 09-263129241,tel: 09-975022314,tel: 09-263129240",Yangon Region,Tarmwe(Tarmwe)
"J & M Group [John & Maung Co.,Ltd.]",Construction Services,"15, 3rd Flr, Tha Kywe St., Ma Hlwa Gone Htay Kywe Ward,","tel: 09-5174522,tel: 09-73090436",Yangon Region,Tarmwe(Tarmwe)
VFS.Global Myanmar Ltd.,Visa Services,"Rm 305, 3rd Flr, Shwe Dagon Pagoda Rd., Prime Hill Business Square,","tel: 09-791089461,tel: 09-791089462",Yangon Region,Dagon(Dagon)
"Myanmar Int'l FAC System Co.,Ltd.",Export & Import Companies,"11th Flr, Kyaikkasan Rd., Kan Taw Gyi Tower,","tel: 01-553974,tel: 01-554967,tel: 09-263891934,tel: 09-252123345,tel: 09-255930229,tel: 09-975022314,tel: 09-254969260,tel: 09-263129240,tel: 09-263129241",Yangon Region,Tarmwe(Tarmwe)
Hla Myaing [Daw],Bags [School Bags],"504, Than Din Su St., Pauk Taw Ward,","tel: 01-647349,tel: 09-73174617",Yangon Region,Insein(Insein)
Ava Travel Service Ltd.,Tourism Services,"102/A, 4th Flr, Dhama Zedi Rd., Near Wizaya Traffic Light, Shwe Gon Daing (West) Ward,","tel: 01-527291,tel: 01-513891",Yangon Region,Bahan(Bahan)
"UCE Solution Co.,Ltd.",Construction Materials,"14/3, Kha Yae Myaing St., Thuwana/23 (Su Paung) Ward,","tel: 01-565236,tel: 09-255976232",Yangon Region,Thingangyun(Thingangyun)
"Maxbond Myanmar Co.,Ltd.",Waterproofing Products,"Bldg C/1, Rm 103, 2nd Flr, Hnin Si St., Yuzana Highway Complex,","tel: 09-425291669,tel: 09-5147147",Yangon Region,Kamayut(Kamayut)
Aung Kyi [U],Bags [School Bags],"112, Thiri Yadanar 2nd St., Pauk Taw Ward,",tel: 09-73059455,Yangon Region,Insein(Insein)
Amazing K Media,Press & Printers [Offset],"140, 2nd Flr, U Chit Maung Rd., Saya San (North-East) Ward,","tel: 09-421076571,tel: 09-73228895",Yangon Region,Bahan(Bahan)
"Shield Technology Co.,Ltd.",Waterproofing Products,"Bldg 4, Rm 106, 1st Flr, Strand Rd., Mingalar Sin Min Housing,","tel: 09-73225254,tel: 01-388121,tel: 09-49235109,tel: 09-5043280,tel: 09-260204433,tel: 09-975395939",Yangon Region,Ahlone(Ahlone)
Always,Press & Printers [Offset],"165, 34th St., Upper Block,","tel: 09-420088471,tel: 01-709283,tel: 09-73139451,tel: 09-780079285",Yangon Region,Kyauktada(Kyauktada)
