,category,Label,Category
0,Accountancy & Management Training Centres in Yangon,44,Education
1,Accountancy & Management Training Centres in Yangon,21,Education
2,Accountants & Auditors in Yangon,31,Finance
3,Accountants & Auditors in Yangon,13,Finance
4,Acting Classes in Yangon,30,Education
5,Acting Classes in Yangon,30,Education
6,Acupuncture Specialists in Yangon,30,Health & Medicine
7,Acupuncture Specialists in Yangon,22,Health & Medicine
8,Advertising Agencies [Direct Mail] in Yangon,37,Agency
9,Advertising Agencies [Direct Mail] in Yangon,8,Agency
10,Advertising Agencies [Outdoor] in Yangon,7,Agency
11,Advertising Agencies [Outdoor] in Yangon,8,Agency
12,Advertising Agencies in Yangon,37,Agency
13,Advertising Agencies in Yangon,51,Agency
14,Agar in Yangon,51,Food
15,Agar in Yangon,51,Food
16,Agricultural [Palm Oil] in Yangon,51,Agriculture
17,Agricultural [Palm Oil] in Yangon,51,Agriculture
18,Agricultural Chemical Dealers in Yangon,51,Agriculture
19,Agricultural Chemical Dealers in Yangon,51,Agriculture
20,Agricultural Machineries & Tools in Yangon,51,Agriculture
21,Agricultural Machineries & Tools in Yangon,56,Agriculture
22,Agricultural Merchants in Yangon,69,Agriculture
23,Agricultural Merchants in Yangon,69,Agriculture
24,Agriculture in Yangon,69,Agriculture
25,Agriculture in Yangon,47,Agriculture
26,Air Cargos in Yangon,53,Service
27,Air Cargos in Yangon,53,Service
28,Air Charters & Rental Services in Yangon,53,Service
29,Air Charters & Rental Services in Yangon,80,Service
30,Air Compressor Repair in Yangon,58,Sales & Repair
31,Air Compressor Repair in Yangon,22,Sales & Repair
32,Air Compressor Sales & Manufacturers in Yangon,24,Equipment & Supplies
33,Air Compressor Sales & Manufacturers in Yangon,73,Equipment & Supplies
34,Air Conditioning Equipment Sales & Repair in Yangon,8,Equipment & Supplies
35,Air Conditioning Equipment Sales & Repair in Yangon,71,Sales & Repair
36,Air Fresheners in Yangon,65,Cosmetic
37,Air Fresheners in Yangon,46,Cosmetic
38,Air Lines in Yangon,46,Travel
39,Air Lines in Yangon,77,Travel
40,Air Ticketing Services in Yangon,63,Travel
41,Air Ticketing Services in Yangon,57,Travel
42,Aircraft Spare Parts in Yangon,8,Equipment & Supplies
43,Aircraft Spare Parts in Yangon,22,Equipment & Supplies
44,Airport Limousines in Yangon,27,Transport
45,Airport Limousines in Yangon,19,Transport
46,Airport Services in Yangon,19,Service
47,Airport Services in Yangon,84,Service
48,Airports in Yangon,48,Travel
49,Airports in Yangon,63,Travel
50,Alcohol & Beer Factories in Yangon,20,Food
51,Alcohol & Beer Factories in Yangon,20,Food
52,Aluminium Frames & Furnitures in Yangon,20,Equipment & Supplies
53,Aluminium Frames & Furnitures in Yangon,20,Equipment & Supplies
54,Aluminium Pots Factories in Yangon,20,Equipment & Supplies
55,Aluminium Pots Factories in Yangon,20,Equipment & Supplies
56,Aluminium/Tin & Zinc Materials in Yangon,20,Equipment & Supplies
57,Aluminium/Tin & Zinc Materials in Yangon,20,Equipment & Supplies
58,Ambulance Services in Yangon,40,Health & Medicine
59,Ambulance Services in Yangon,29,Health & Medicine
60,Amusement Zones in Yangon,94,Entertainment
61,Amusement Zones in Yangon,29,Entertainment
62,Animal Behaviorists in Yangon,82,Health & Medicine
63,Animal Behaviorists in Yangon,8,Health & Medicine
64,Animal Feeds in Yangon,22,Food
65,Animal Feeds in Yangon,73,Food
66,Animation Services in Yangon,42,Service
67,Animation Services in Yangon,18,Service
68,Antique Dealers in Yangon,23,Home
69,Antique Dealers in Yangon,23,Home
70,Apartments & Residentials in Yangon,23,Home
71,Apartments & Residentials in Yangon,82,Home
72,Architects in Yangon,8,Construction
73,Architects in Yangon,59,Construction
74,Art & Craft Materials in Yangon,74,Art
75,Art & Craft Materials in Yangon,22,Art
76,Art Galleries in Yangon,43,Art
77,Art Galleries in Yangon,43,Art
78,Art Schools in Yangon,43,Education
79,Art Schools in Yangon,24,Education
80,Artificial Leather in Yangon,3,Accessories
81,Artificial Leather in Yangon,54,Accessories
82,Artist & Illustrators in Yangon,25,Art
83,Artist & Illustrators in Yangon,9,Art
84,Associations/Clubs & Societies in Yangon,9,Organization
85,Associations/Clubs & Societies in Yangon,77,Organization
86,Astrologers & Palmists in Yangon,9,Service
87,Astrologers & Palmists in Yangon,70,Service
88,Audio Equipment Sales & Repair in Yangon,63,Media
89,Audio Equipment Sales & Repair in Yangon,22,Media
90,Baby Clinics in Yangon,56,Health & Medicine
91,Baby Vitamins in Yangon,27,Health & Medicine
92,Badges/Emblems & Medals in Yangon,0,Medals
93,Badminton Courts in Yangon,9, Sport & Wellness
94,Bag Tailoring in Yangon,9,Apparel
95,Bags [Gunny] in Yangon,22,Apparel
96,Bags [Leather] in Yangon,5,Accessories
97,Bags [Luggage] in Yangon,22,Apparel
98,Bags [Other] in Yangon,3,Equipment & Supplies
99,Bags [Paper] in Yangon,83,Equipment & Supplies
100,Bags [Penang] in Yangon,79,Equipment & Supplies
101,Bags [Plastic] in Yangon,74,Equipment & Supplies
102,Bags [School Bags] in Yangon,58,Apparel
103,Bakery & Cake Makers in Yangon,61,Food
104,Baking Powder in Yangon,61,Food
105,Baking Supplies & Equipment in Yangon,61,Food
106,Baking Training Centres in Yangon,61,Education
107,Balloons [Gas Filled] in Yangon,25,Chemical
108,Bamboo Products in Yangon,39,Equipment & Supplies
109,Bamboo/Nipa & Palm Thatch in Yangon,39,Equipment & Supplies
110,Bands in Yangon,58,Entertainment
111,Bank Equipment & Supplies in Yangon,8,Finance
112,Banking Management Training Centres in Yangon,58,Education
113,Banks [Govt.] in Yangon,12,Finance
114,Banks [Overseas] in Yangon,63,Finance
